"時間","M1A原始值","M1A年增率(%)","M1B原始值","M1B年增率(%)","M2原始值","M2年增率(%)"
"2020M09",8221655,13.65,21011747,12.10,48567328,7.15
"2020M10",8229772,14.53,21061398,12.85,48691517,7.05
"2020M11",8406359,16.00,21419902,14.30,49244895,7.60
"2020M12",8698682,17.79,21957908,16.17,49721350,8.45
"2021M01",8984026,20.17,22622754,17.81,50346758,8.84
"2021M02",9071055,21.74,22956480,18.57,50862321,9.12
"2021M03",9101177,20.51,22981901,18.23,50920293,8.91
"2021M04",9081173,19.53,23111944,17.73,51137274,8.83
"2021M05",9205852,19.98,23288445,17.74,51455791,9.21
"2021M06",9313796,19.64,23569675,17.36,51857579,9.23
"2021M07",9374121,19.44,23760484,16.67,52031665,8.70
"2021M08",9532791,18.13,23977765,15.39,52425303,8.44
"2021M09",9564447,16.33,24156031,14.96,52786682,8.69
"2021M10",9648028,17.23,24207931,14.94,52804318,8.45
"2021M11",9746450,15.94,24457750,14.18,53311701,8.26
"2021M12",9940457,14.28,24758016,12.75,53709010,8.02
