,年,月,分類,隸屬區,人數(對數)
0,111,4.0,遷入統計,板橋區,1665
1,111,4.0,遷入統計,三重區,1309
2,111,4.0,遷入統計,中和區,1470
3,111,4.0,遷入統計,永和區,802
4,111,4.0,遷入統計,新莊區,1228
5,111,4.0,遷入統計,新店區,1171
6,111,4.0,遷入統計,土城區,835
7,111,4.0,遷入統計,蘆洲區,683
8,111,4.0,遷入統計,樹林區,582
9,111,4.0,遷入統計,鶯歌區,329
10,111,4.0,遷入統計,三峽區,354
11,111,4.0,遷入統計,淡水區,959
12,111,4.0,遷入統計,汐止區,779
13,111,4.0,遷入統計,瑞芳區,106
14,111,4.0,遷入統計,五股區,538
15,111,4.0,遷入統計,泰山區,220
16,111,4.0,遷入統計,林口區,774
17,111,4.0,遷入統計,八里區,236
18,111,4.0,遷入統計,深坑區,88
19,111,4.0,遷入統計,石碇區,12
20,111,4.0,遷入統計,坪林區,19
21,111,4.0,遷入統計,三芝區,59
22,111,4.0,遷入統計,石門區,20
23,111,4.0,遷入統計,金山區,46
24,111,4.0,遷入統計,萬里區,47
25,111,4.0,遷入統計,平溪區,18
26,111,4.0,遷入統計,雙溪區,44
27,111,4.0,遷入統計,貢寮區,13
28,111,4.0,遷入統計,烏來區,31
29,總計,,,,14437
