,年,月,分類,隸屬區,人數(對數)
0,102,4.0,遷入統計,板橋區,1733
1,102,4.0,遷入統計,三重區,1198
2,102,4.0,遷入統計,中和區,1603
3,102,4.0,遷入統計,永和區,1003
4,102,4.0,遷入統計,新莊區,1422
5,102,4.0,遷入統計,新店區,1138
6,102,4.0,遷入統計,土城區,852
7,102,4.0,遷入統計,蘆洲區,666
8,102,4.0,遷入統計,樹林區,795
9,102,4.0,遷入統計,鶯歌區,317
10,102,4.0,遷入統計,三峽區,526
11,102,4.0,遷入統計,淡水區,881
12,102,4.0,遷入統計,汐止區,857
13,102,4.0,遷入統計,瑞芳區,144
14,102,4.0,遷入統計,五股區,322
15,102,4.0,遷入統計,泰山區,342
16,102,4.0,遷入統計,林口區,654
17,102,4.0,遷入統計,八里區,161
18,102,4.0,遷入統計,深坑區,115
19,102,4.0,遷入統計,石碇區,23
20,102,4.0,遷入統計,坪林區,12
21,102,4.0,遷入統計,三芝區,112
22,102,4.0,遷入統計,石門區,51
23,102,4.0,遷入統計,金山區,45
24,102,4.0,遷入統計,萬里區,55
25,102,4.0,遷入統計,平溪區,10
26,102,4.0,遷入統計,雙溪區,51
27,102,4.0,遷入統計,貢寮區,32
28,102,4.0,遷入統計,烏來區,22
29,總計,,,,15142
