,年,月,分類,隸屬區,人數(對數)
0,104,4.0,遷入統計,板橋區,1618
1,104,4.0,遷入統計,三重區,1249
2,104,4.0,遷入統計,中和區,1574
3,104,4.0,遷入統計,永和區,912
4,104,4.0,遷入統計,新莊區,1240
5,104,4.0,遷入統計,新店區,1132
6,104,4.0,遷入統計,土城區,758
7,104,4.0,遷入統計,蘆洲區,609
8,104,4.0,遷入統計,樹林區,677
9,104,4.0,遷入統計,鶯歌區,266
10,104,4.0,遷入統計,三峽區,516
11,104,4.0,遷入統計,淡水區,812
12,104,4.0,遷入統計,汐止區,800
13,104,4.0,遷入統計,瑞芳區,119
14,104,4.0,遷入統計,五股區,306
15,104,4.0,遷入統計,泰山區,267
16,104,4.0,遷入統計,林口區,519
17,104,4.0,遷入統計,八里區,144
18,104,4.0,遷入統計,深坑區,82
19,104,4.0,遷入統計,石碇區,12
20,104,4.0,遷入統計,坪林區,22
21,104,4.0,遷入統計,三芝區,148
22,104,4.0,遷入統計,石門區,87
23,104,4.0,遷入統計,金山區,58
24,104,4.0,遷入統計,萬里區,74
25,104,4.0,遷入統計,平溪區,18
26,104,4.0,遷入統計,雙溪區,35
27,104,4.0,遷入統計,貢寮區,27
28,104,4.0,遷入統計,烏來區,12
29,總計,,,,14093
