,年,月,分類,隸屬區,人數(對數)
0,108,4.0,遷入統計,板橋區,1806
1,108,4.0,遷入統計,三重區,1186
2,108,4.0,遷入統計,中和區,1451
3,108,4.0,遷入統計,永和區,829
4,108,4.0,遷入統計,新莊區,1333
5,108,4.0,遷入統計,新店區,1181
6,108,4.0,遷入統計,土城區,712
7,108,4.0,遷入統計,蘆洲區,708
8,108,4.0,遷入統計,樹林區,655
9,108,4.0,遷入統計,鶯歌區,325
10,108,4.0,遷入統計,三峽區,397
11,108,4.0,遷入統計,淡水區,976
12,108,4.0,遷入統計,汐止區,878
13,108,4.0,遷入統計,瑞芳區,98
14,108,4.0,遷入統計,五股區,462
15,108,4.0,遷入統計,泰山區,271
16,108,4.0,遷入統計,林口區,880
17,108,4.0,遷入統計,八里區,136
18,108,4.0,遷入統計,深坑區,85
19,108,4.0,遷入統計,石碇區,12
20,108,4.0,遷入統計,坪林區,31
21,108,4.0,遷入統計,三芝區,69
22,108,4.0,遷入統計,石門區,39
23,108,4.0,遷入統計,金山區,33
24,108,4.0,遷入統計,萬里區,84
25,108,4.0,遷入統計,平溪區,20
26,108,4.0,遷入統計,雙溪區,20
27,108,4.0,遷入統計,貢寮區,26
28,108,4.0,遷入統計,烏來區,14
29,總計,,,,14717
