,年,月,分類,隸屬區,人數(對數)
0,107,4.0,遷入統計,板橋區,1790
1,107,4.0,遷入統計,三重區,1145
2,107,4.0,遷入統計,中和區,1332
3,107,4.0,遷入統計,永和區,799
4,107,4.0,遷入統計,新莊區,1258
5,107,4.0,遷入統計,新店區,981
6,107,4.0,遷入統計,土城區,665
7,107,4.0,遷入統計,蘆洲區,605
8,107,4.0,遷入統計,樹林區,562
9,107,4.0,遷入統計,鶯歌區,340
10,107,4.0,遷入統計,三峽區,498
11,107,4.0,遷入統計,淡水區,807
12,107,4.0,遷入統計,汐止區,737
13,107,4.0,遷入統計,瑞芳區,107
14,107,4.0,遷入統計,五股區,392
15,107,4.0,遷入統計,泰山區,272
16,107,4.0,遷入統計,林口區,592
17,107,4.0,遷入統計,八里區,155
18,107,4.0,遷入統計,深坑區,98
19,107,4.0,遷入統計,石碇區,32
20,107,4.0,遷入統計,坪林區,22
21,107,4.0,遷入統計,三芝區,74
22,107,4.0,遷入統計,石門區,42
23,107,4.0,遷入統計,金山區,49
24,107,4.0,遷入統計,萬里區,67
25,107,4.0,遷入統計,平溪區,21
26,107,4.0,遷入統計,雙溪區,46
27,107,4.0,遷入統計,貢寮區,13
28,107,4.0,遷入統計,烏來區,43
29,總計,,,,13544
