,年,月,分類,隸屬區,人數(對數)
0,109,4.0,遷入統計,板橋區,1547
1,109,4.0,遷入統計,三重區,1178
2,109,4.0,遷入統計,中和區,1364
3,109,4.0,遷入統計,永和區,720
4,109,4.0,遷入統計,新莊區,1290
5,109,4.0,遷入統計,新店區,943
6,109,4.0,遷入統計,土城區,783
7,109,4.0,遷入統計,蘆洲區,625
8,109,4.0,遷入統計,樹林區,539
9,109,4.0,遷入統計,鶯歌區,378
10,109,4.0,遷入統計,三峽區,385
11,109,4.0,遷入統計,淡水區,822
12,109,4.0,遷入統計,汐止區,861
13,109,4.0,遷入統計,瑞芳區,96
14,109,4.0,遷入統計,五股區,452
15,109,4.0,遷入統計,泰山區,235
16,109,4.0,遷入統計,林口區,870
17,109,4.0,遷入統計,八里區,141
18,109,4.0,遷入統計,深坑區,83
19,109,4.0,遷入統計,石碇區,16
20,109,4.0,遷入統計,坪林區,13
21,109,4.0,遷入統計,三芝區,70
22,109,4.0,遷入統計,石門區,18
23,109,4.0,遷入統計,金山區,19
24,109,4.0,遷入統計,萬里區,50
25,109,4.0,遷入統計,平溪區,11
26,109,4.0,遷入統計,雙溪區,20
27,109,4.0,遷入統計,貢寮區,19
28,109,4.0,遷入統計,烏來區,24
29,總計,,,,13572
