,年,月,分類,隸屬區,人數(對數)
0,106,4.0,遷入統計,板橋區,1326
1,106,4.0,遷入統計,三重區,970
2,106,4.0,遷入統計,中和區,1215
3,106,4.0,遷入統計,永和區,713
4,106,4.0,遷入統計,新莊區,1200
5,106,4.0,遷入統計,新店區,1078
6,106,4.0,遷入統計,土城區,681
7,106,4.0,遷入統計,蘆洲區,643
8,106,4.0,遷入統計,樹林區,597
9,106,4.0,遷入統計,鶯歌區,278
10,106,4.0,遷入統計,三峽區,353
11,106,4.0,遷入統計,淡水區,622
12,106,4.0,遷入統計,汐止區,724
13,106,4.0,遷入統計,瑞芳區,109
14,106,4.0,遷入統計,五股區,322
15,106,4.0,遷入統計,泰山區,234
16,106,4.0,遷入統計,林口區,489
17,106,4.0,遷入統計,八里區,97
18,106,4.0,遷入統計,深坑區,84
19,106,4.0,遷入統計,石碇區,12
20,106,4.0,遷入統計,坪林區,19
21,106,4.0,遷入統計,三芝區,63
22,106,4.0,遷入統計,石門區,19
23,106,4.0,遷入統計,金山區,43
24,106,4.0,遷入統計,萬里區,64
25,106,4.0,遷入統計,平溪區,10
26,106,4.0,遷入統計,雙溪區,18
27,106,4.0,遷入統計,貢寮區,34
28,106,4.0,遷入統計,烏來區,19
29,總計,,,,12036
