,年,月,分類,隸屬區,人數(對數)
0,105,4.0,遷入統計,板橋區,1372
1,105,4.0,遷入統計,三重區,1116
2,105,4.0,遷入統計,中和區,1309
3,105,4.0,遷入統計,永和區,734
4,105,4.0,遷入統計,新莊區,1098
5,105,4.0,遷入統計,新店區,977
6,105,4.0,遷入統計,土城區,635
7,105,4.0,遷入統計,蘆洲區,558
8,105,4.0,遷入統計,樹林區,607
9,105,4.0,遷入統計,鶯歌區,222
10,105,4.0,遷入統計,三峽區,419
11,105,4.0,遷入統計,淡水區,686
12,105,4.0,遷入統計,汐止區,711
13,105,4.0,遷入統計,瑞芳區,105
14,105,4.0,遷入統計,五股區,332
15,105,4.0,遷入統計,泰山區,264
16,105,4.0,遷入統計,林口區,535
17,105,4.0,遷入統計,八里區,146
18,105,4.0,遷入統計,深坑區,59
19,105,4.0,遷入統計,石碇區,21
20,105,4.0,遷入統計,坪林區,25
21,105,4.0,遷入統計,三芝區,58
22,105,4.0,遷入統計,石門區,40
23,105,4.0,遷入統計,金山區,44
24,105,4.0,遷入統計,萬里區,49
25,105,4.0,遷入統計,平溪區,12
26,105,4.0,遷入統計,雙溪區,29
27,105,4.0,遷入統計,貢寮區,27
28,105,4.0,遷入統計,烏來區,13
29,總計,,,,12203
