,年,月,分類,隸屬區,人數(對數)
0,110,4.0,遷入統計,板橋區,1802
1,110,4.0,遷入統計,三重區,1120
2,110,4.0,遷入統計,中和區,1539
3,110,4.0,遷入統計,永和區,850
4,110,4.0,遷入統計,新莊區,1443
5,110,4.0,遷入統計,新店區,1062
6,110,4.0,遷入統計,土城區,792
7,110,4.0,遷入統計,蘆洲區,643
8,110,4.0,遷入統計,樹林區,619
9,110,4.0,遷入統計,鶯歌區,391
10,110,4.0,遷入統計,三峽區,423
11,110,4.0,遷入統計,淡水區,891
12,110,4.0,遷入統計,汐止區,875
13,110,4.0,遷入統計,瑞芳區,69
14,110,4.0,遷入統計,五股區,469
15,110,4.0,遷入統計,泰山區,195
16,110,4.0,遷入統計,林口區,897
17,110,4.0,遷入統計,八里區,179
18,110,4.0,遷入統計,深坑區,106
19,110,4.0,遷入統計,石碇區,10
20,110,4.0,遷入統計,坪林區,28
21,110,4.0,遷入統計,三芝區,82
22,110,4.0,遷入統計,石門區,19
23,110,4.0,遷入統計,金山區,53
24,110,4.0,遷入統計,萬里區,51
25,110,4.0,遷入統計,平溪區,18
26,110,4.0,遷入統計,雙溪區,11
27,110,4.0,遷入統計,貢寮區,13
28,110,4.0,遷入統計,烏來區,18
29,總計,,,,14668
