,年,月,分類,隸屬區,人數(對數)
0,108,4.0,遷出統計,板橋區,1695
1,108,4.0,遷出統計,三重區,1328
2,108,4.0,遷出統計,中和區,1447
3,108,4.0,遷出統計,永和區,896
4,108,4.0,遷出統計,新莊區,1218
5,108,4.0,遷出統計,新店區,1042
6,108,4.0,遷出統計,土城區,736
7,108,4.0,遷出統計,蘆洲區,694
8,108,4.0,遷出統計,樹林區,693
9,108,4.0,遷出統計,鶯歌區,310
10,108,4.0,遷出統計,三峽區,363
11,108,4.0,遷出統計,淡水區,522
12,108,4.0,遷出統計,汐止區,721
13,108,4.0,遷出統計,瑞芳區,143
14,108,4.0,遷出統計,五股區,311
15,108,4.0,遷出統計,泰山區,302
16,108,4.0,遷出統計,林口區,437
17,108,4.0,遷出統計,八里區,136
18,108,4.0,遷出統計,深坑區,115
19,108,4.0,遷出統計,石碇區,34
20,108,4.0,遷出統計,坪林區,16
21,108,4.0,遷出統計,三芝區,72
22,108,4.0,遷出統計,石門區,65
23,108,4.0,遷出統計,金山區,60
24,108,4.0,遷出統計,萬里區,82
25,108,4.0,遷出統計,平溪區,23
26,108,4.0,遷出統計,雙溪區,35
27,108,4.0,遷出統計,貢寮區,33
28,108,4.0,遷出統計,烏來區,32
29,總計,,,,13561
