,年,月,分類,隸屬區,人數(對數)
0,105,4.0,遷出統計,板橋區,1712
1,105,4.0,遷出統計,三重區,1108
2,105,4.0,遷出統計,中和區,1415
3,105,4.0,遷出統計,永和區,845
4,105,4.0,遷出統計,新莊區,1160
5,105,4.0,遷出統計,新店區,1131
6,105,4.0,遷出統計,土城區,726
7,105,4.0,遷出統計,蘆洲區,610
8,105,4.0,遷出統計,樹林區,687
9,105,4.0,遷出統計,鶯歌區,304
10,105,4.0,遷出統計,三峽區,302
11,105,4.0,遷出統計,淡水區,424
12,105,4.0,遷出統計,汐止區,648
13,105,4.0,遷出統計,瑞芳區,132
14,105,4.0,遷出統計,五股區,269
15,105,4.0,遷出統計,泰山區,226
16,105,4.0,遷出統計,林口區,317
17,105,4.0,遷出統計,八里區,103
18,105,4.0,遷出統計,深坑區,86
19,105,4.0,遷出統計,石碇區,37
20,105,4.0,遷出統計,坪林區,22
21,105,4.0,遷出統計,三芝區,79
22,105,4.0,遷出統計,石門區,41
23,105,4.0,遷出統計,金山區,61
24,105,4.0,遷出統計,萬里區,86
25,105,4.0,遷出統計,平溪區,33
26,105,4.0,遷出統計,雙溪區,29
27,105,4.0,遷出統計,貢寮區,30
28,105,4.0,遷出統計,烏來區,21
29,總計,,,,12644
