,年,月,分類,隸屬區,人數(對數)
0,110,4.0,遷出統計,板橋區,1960
1,110,4.0,遷出統計,三重區,1335
2,110,4.0,遷出統計,中和區,1721
3,110,4.0,遷出統計,永和區,901
4,110,4.0,遷出統計,新莊區,1451
5,110,4.0,遷出統計,新店區,1297
6,110,4.0,遷出統計,土城區,854
7,110,4.0,遷出統計,蘆洲區,701
8,110,4.0,遷出統計,樹林區,725
9,110,4.0,遷出統計,鶯歌區,321
10,110,4.0,遷出統計,三峽區,431
11,110,4.0,遷出統計,淡水區,750
12,110,4.0,遷出統計,汐止區,795
13,110,4.0,遷出統計,瑞芳區,100
14,110,4.0,遷出統計,五股區,295
15,110,4.0,遷出統計,泰山區,371
16,110,4.0,遷出統計,林口區,543
17,110,4.0,遷出統計,八里區,153
18,110,4.0,遷出統計,深坑區,108
19,110,4.0,遷出統計,石碇區,36
20,110,4.0,遷出統計,坪林區,25
21,110,4.0,遷出統計,三芝區,80
22,110,4.0,遷出統計,石門區,49
23,110,4.0,遷出統計,金山區,56
24,110,4.0,遷出統計,萬里區,83
25,110,4.0,遷出統計,平溪區,12
26,110,4.0,遷出統計,雙溪區,30
27,110,4.0,遷出統計,貢寮區,43
28,110,4.0,遷出統計,烏來區,40
29,總計,,,,15266
