,年,月,分類,隸屬區,人數(對數)
0,107,4.0,遷出統計,板橋區,1688
1,107,4.0,遷出統計,三重區,1422
2,107,4.0,遷出統計,中和區,1520
3,107,4.0,遷出統計,永和區,1009
4,107,4.0,遷出統計,新莊區,1374
5,107,4.0,遷出統計,新店區,1103
6,107,4.0,遷出統計,土城區,815
7,107,4.0,遷出統計,蘆洲區,722
8,107,4.0,遷出統計,樹林區,738
9,107,4.0,遷出統計,鶯歌區,391
10,107,4.0,遷出統計,三峽區,443
11,107,4.0,遷出統計,淡水區,561
12,107,4.0,遷出統計,汐止區,718
13,107,4.0,遷出統計,瑞芳區,136
14,107,4.0,遷出統計,五股區,297
15,107,4.0,遷出統計,泰山區,267
16,107,4.0,遷出統計,林口區,393
17,107,4.0,遷出統計,八里區,130
18,107,4.0,遷出統計,深坑區,75
19,107,4.0,遷出統計,石碇區,33
20,107,4.0,遷出統計,坪林區,10
21,107,4.0,遷出統計,三芝區,97
22,107,4.0,遷出統計,石門區,25
23,107,4.0,遷出統計,金山區,80
24,107,4.0,遷出統計,萬里區,77
25,107,4.0,遷出統計,平溪區,15
26,107,4.0,遷出統計,雙溪區,34
27,107,4.0,遷出統計,貢寮區,44
28,107,4.0,遷出統計,烏來區,30
29,總計,,,,14247
