,年,月,分類,隸屬區,人數(對數)
0,104,4.0,遷出統計,板橋區,2047
1,104,4.0,遷出統計,三重區,1318
2,104,4.0,遷出統計,中和區,1816
3,104,4.0,遷出統計,永和區,1036
4,104,4.0,遷出統計,新莊區,1387
5,104,4.0,遷出統計,新店區,1334
6,104,4.0,遷出統計,土城區,934
7,104,4.0,遷出統計,蘆洲區,719
8,104,4.0,遷出統計,樹林區,745
9,104,4.0,遷出統計,鶯歌區,499
10,104,4.0,遷出統計,三峽區,409
11,104,4.0,遷出統計,淡水區,596
12,104,4.0,遷出統計,汐止區,781
13,104,4.0,遷出統計,瑞芳區,157
14,104,4.0,遷出統計,五股區,321
15,104,4.0,遷出統計,泰山區,303
16,104,4.0,遷出統計,林口區,406
17,104,4.0,遷出統計,八里區,149
18,104,4.0,遷出統計,深坑區,122
19,104,4.0,遷出統計,石碇區,32
20,104,4.0,遷出統計,坪林區,19
21,104,4.0,遷出統計,三芝區,134
22,104,4.0,遷出統計,石門區,112
23,104,4.0,遷出統計,金山區,66
24,104,4.0,遷出統計,萬里區,120
25,104,4.0,遷出統計,平溪區,19
26,104,4.0,遷出統計,雙溪區,43
27,104,4.0,遷出統計,貢寮區,48
28,104,4.0,遷出統計,烏來區,30
29,總計,,,,15702
