,年,月,分類,隸屬區,人數(對數)
0,109,4.0,遷出統計,板橋區,1578
1,109,4.0,遷出統計,三重區,1217
2,109,4.0,遷出統計,中和區,1378
3,109,4.0,遷出統計,永和區,758
4,109,4.0,遷出統計,新莊區,1235
5,109,4.0,遷出統計,新店區,1004
6,109,4.0,遷出統計,土城區,758
7,109,4.0,遷出統計,蘆洲區,682
8,109,4.0,遷出統計,樹林區,583
9,109,4.0,遷出統計,鶯歌區,283
10,109,4.0,遷出統計,三峽區,399
11,109,4.0,遷出統計,淡水區,459
12,109,4.0,遷出統計,汐止區,634
13,109,4.0,遷出統計,瑞芳區,136
14,109,4.0,遷出統計,五股區,235
15,109,4.0,遷出統計,泰山區,316
16,109,4.0,遷出統計,林口區,391
17,109,4.0,遷出統計,八里區,116
18,109,4.0,遷出統計,深坑區,78
19,109,4.0,遷出統計,石碇區,29
20,109,4.0,遷出統計,坪林區,11
21,109,4.0,遷出統計,三芝區,64
22,109,4.0,遷出統計,石門區,41
23,109,4.0,遷出統計,金山區,71
24,109,4.0,遷出統計,萬里區,75
25,109,4.0,遷出統計,平溪區,13
26,109,4.0,遷出統計,雙溪區,24
27,109,4.0,遷出統計,貢寮區,35
28,109,4.0,遷出統計,烏來區,36
29,總計,,,,12639
