,年,月,分類,隸屬區,人數(對數)
0,111,4.0,遷出統計,板橋區,3473
1,111,4.0,遷出統計,三重區,2553
2,111,4.0,遷出統計,中和區,3305
3,111,4.0,遷出統計,永和區,2075
4,111,4.0,遷出統計,新莊區,2373
5,111,4.0,遷出統計,新店區,3761
6,111,4.0,遷出統計,土城區,1362
7,111,4.0,遷出統計,蘆洲區,1044
8,111,4.0,遷出統計,樹林區,1064
9,111,4.0,遷出統計,鶯歌區,474
10,111,4.0,遷出統計,三峽區,708
11,111,4.0,遷出統計,淡水區,1115
12,111,4.0,遷出統計,汐止區,1426
13,111,4.0,遷出統計,瑞芳區,179
14,111,4.0,遷出統計,五股區,663
15,111,4.0,遷出統計,泰山區,396
16,111,4.0,遷出統計,林口區,1140
17,111,4.0,遷出統計,八里區,284
18,111,4.0,遷出統計,深坑區,145
19,111,4.0,遷出統計,石碇區,37
20,111,4.0,遷出統計,坪林區,24
21,111,4.0,遷出統計,三芝區,125
22,111,4.0,遷出統計,石門區,55
23,111,4.0,遷出統計,金山區,69
24,111,4.0,遷出統計,萬里區,116
25,111,4.0,遷出統計,平溪區,14
26,111,4.0,遷出統計,雙溪區,37
27,111,4.0,遷出統計,貢寮區,38
28,111,4.0,遷出統計,烏來區,40
29,總計,,,,28095
