,年,月,分類,隸屬區,人數(對數)
0,103,4.0,遷出統計,板橋區,2170
1,103,4.0,遷出統計,三重區,1629
2,103,4.0,遷出統計,中和區,2127
3,103,4.0,遷出統計,永和區,1109
4,103,4.0,遷出統計,新莊區,1497
5,103,4.0,遷出統計,新店區,1494
6,103,4.0,遷出統計,土城區,1010
7,103,4.0,遷出統計,蘆洲區,854
8,103,4.0,遷出統計,樹林區,768
9,103,4.0,遷出統計,鶯歌區,354
10,103,4.0,遷出統計,三峽區,465
11,103,4.0,遷出統計,淡水區,594
12,103,4.0,遷出統計,汐止區,926
13,103,4.0,遷出統計,瑞芳區,141
14,103,4.0,遷出統計,五股區,383
15,103,4.0,遷出統計,泰山區,348
16,103,4.0,遷出統計,林口區,507
17,103,4.0,遷出統計,八里區,162
18,103,4.0,遷出統計,深坑區,125
19,103,4.0,遷出統計,石碇區,47
20,103,4.0,遷出統計,坪林區,38
21,103,4.0,遷出統計,三芝區,114
22,103,4.0,遷出統計,石門區,89
23,103,4.0,遷出統計,金山區,89
24,103,4.0,遷出統計,萬里區,125
25,103,4.0,遷出統計,平溪區,21
26,103,4.0,遷出統計,雙溪區,38
27,103,4.0,遷出統計,貢寮區,56
28,103,4.0,遷出統計,烏來區,40
29,總計,,,,17320
