year,district,marry_rate
102,板橋,7.306435981191
102,三重,7.25987718985566
102,中和,7.56
102,永和,6.53719852989148
102,新莊,7.27742870715451
102,新店,6.83813399390602
102,樹林,7.17
102,鶯歌,7.39095794273703
102,三峽,7
102,淡水,7.32
102,汐止,7.35119263019676
102,瑞芳,6.28105935721419
102,土城,7.19
102,蘆洲,7.23460578166832
102,五股,6.72520540716333
102,泰山,7.30283627761064
102,林口,7.58720393056295
102,深坑,6.27
102,石碇,3.30368487928844
102,坪林,3.55404465734374
102,烏來,8.6587294979602
102,三芝,4.475321797
102,石門,5.001562988
102,八里,6.284586079
102,平溪,1.78023934328949
102,雙溪,4.02606346347407
102,貢寮,3.96736282655887
102,金山,4.946745
102,萬里,5.816147579
103,板橋,7.17088083218162
103,三重,7.16432775708539
103,中和,7.49
103,永和,6.62241496814798
103,新莊,7.37214095202387
103,新店,6.90107841876452
103,樹林,7.19
103,鶯歌,7.16890249392275
103,三峽,6.6
103,淡水,6.61
103,汐止,7.54096676426774
103,瑞芳,5.62767948795363
103,土城,7.15
103,蘆洲,6.76393370342906
103,五股,6.43906365282715
103,泰山,6.90939101395313
103,林口,7.31148925962045
103,深坑,5.84
103,石碇,5.09164969450102
103,坪林,4.49090205187766
103,烏來,7.54036554380788
103,三芝,5.28289025221541
103,石門,5.327692247
103,八里,7.136755669
103,平溪,4.62032944957814
103,雙溪,5.08959813381402
103,貢寮,4.08271273579556
103,金山,4.554385
103,萬里,5.38678912
104,板橋,7.20263027518804
104,三重,7.25
104,中和,7.41
104,永和,6.39309351500853
104,新莊,7.47193176831678
104,新店,4.32597493479229
104,樹林,6.87266568227221
104,鶯歌,7.81744238590149
104,三峽,6.6
104,淡水,6.75646222919664
104,汐止,6.38600294502618
104,瑞芳,5.81
104,土城,7.27656164678758
104,蘆洲,7.13276394602909
104,五股,6.53840099771156
104,泰山,6.59549138320696
104,林口,7.86888557791863
104,深坑,6.60597078128308
104,石碇,4.32597493479229
104,坪林,4.01699497875628
104,烏來,7.29
104,三芝,4.7693061085443
104,石門,4.80807125403957
104,八里,7.42670139584586
104,平溪,3.05250305250305
104,雙溪,4.17223856646162
104,貢寮,4.15784408084697
104,金山,5.03089143865843
104,萬里,5.95611285266458
105,板橋,6.79246033288117
105,三重,6.89550440910752
105,中和,6.9
105,永和,6.15031330105383
105,新莊,6.99058132775118
105,新店,5.00288628054647
105,樹林,6.49398208051561
105,鶯歌,7.10061873558757
105,三峽,6.38
105,淡水,6.82955979
105,汐止,6.31321788728138
105,瑞芳,5.64
105,土城,7.25477417367452
105,蘆洲,6.6816867391722
105,五股,7.08740130614102
105,泰山,6.84340164038496
105,林口,6.77902824103867
105,深坑,5.71102227298687
105,石碇,5.00288628054647
105,坪林,4.75898065704636
105,烏來,6.45
105,三芝,4.99402424449377
105,石門,4.61471138162867
105,八里,6.46054453161052
105,平溪,4.14421881475342
105,雙溪,3.16611168731918
105,貢寮,3.36384260345772
105,金山,5.36204910041656
105,萬里,5.03744349742506
