year,district,household,pop,sex_ratio
109,雙溪,3769,8632,1.1875316776482514
109,貢寮,4351,12006,1.0484558948984815
109,烏來,1904,6434,0.9496969696969697
110,板橋,217997,556901,0.9455056768558951
110,三重,154737,384975,0.9618659831115687
110,中和,168900,410834,0.9360788693631921
110,永和,91828,219171,0.8998379029671558
110,新莊,161187,422851,0.9497362548184216
110,新店,130451,303293,0.921095803642122
110,土城,89570,238192,0.9665136554274958
110,蘆洲,73507,202536,0.9584401017240879
110,樹林,67560,183302,0.9925863118532047
110,鶯歌,31896,87673,1.0040000914306613
110,三峽,44583,116866,0.9979826301032619
110,淡水,83184,183488,0.916603994317707
110,汐止,91241,205788,0.9469800181653043
110,瑞芳,16169,38993,1.0199440530460009
110,五股,34708,89529,1.0107128419350493
110,泰山,29053,78399,0.9743383112140824
110,林口,49032,121437,0.946136957323034
110,八里,15591,39751,0.9941306310825725
110,深坑,9807,23742,0.9993263157894737
110,石碇,3406,7562,1.202096680256261
110,坪林,2545,6700,1.193126022913257
110,三芝,9593,22529,1.0568793937733953
110,石門,4241,11475,1.0848473837209303
110,金山,7201,21096,0.9673598806304206
110,萬里,7544,21672,1.0011080332409972
110,平溪,2247,4412,1.266050333846944
110,雙溪,3726,8436,1.187192118226601
110,貢寮,4349,11751,1.0461431307678914
110,烏來,1912,6420,0.954337899543379
