,臺北市107年各行政區遷出人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,147918,11020,9402,14656,11656,16219,11607,13935,14362,13096,9216,9462,13287
3,松山,12188,855,774,1240,922,1240,880,1209,1289,1145,777,829,1028
4,信義,12687,999,930,1288,922,1411,1068,1135,1306,1124,703,768,1033
5,大安,18500,1407,1155,1642,1352,2039,1441,1811,1740,1864,1091,1221,1737
6,中山,14401,1131,885,1450,1173,1592,1094,1295,1437,1139,907,915,1383
7,中正,11609,803,709,1077,840,1110,867,1154,1122,1195,851,805,1076
8,大同,8373,620,566,852,710,903,668,855,751,662,483,510,793
9,萬華,11012,791,646,1236,864,1246,893,917,1035,978,740,700,966
10,文山,13136,966,800,1304,1123,1414,989,1239,1205,1149,838,854,1255
11,南港,7220,535,439,754,572,823,594,633,713,605,402,491,659
12,內湖,13716,1028,887,1308,1120,1556,1076,1333,1294,1223,895,830,1166
13,士林,13395,992,863,1320,1035,1463,1139,1286,1305,1068,874,853,1197
14,北投,11681,893,748,1185,1023,1422,898,1068,1165,944,655,686,994
15,備註：依據戶籍資料產製。,,,,,,,,,,,,,
