,臺北市104年各行政區遷出人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,143115,10372,8739,13396,12313,13515,12276,15962,13768,14553,9649,9222,9350
3,松山,12321,909,712,1079,908,1130,1059,1465,1260,1431,812,838,718
4,信義,12223,838,851,1149,1058,1142,1011,1353,1134,1193,859,702,933
5,大安,18604,1251,1110,1624,1487,1670,1449,2402,1777,2136,1251,1221,1226
6,中山,13622,961,880,1416,1211,1248,1172,1598,1267,1292,889,862,826
7,中正,11828,880,656,1048,955,1066,1002,1276,1318,1343,884,687,713
8,大同,7556,600,427,708,672,768,708,792,695,713,553,486,434
9,萬華,9955,764,637,988,944,960,926,1021,853,887,633,609,733
10,文山,12511,929,767,1197,1060,1173,1022,1248,1188,1181,872,891,983
11,南港,6473,479,429,629,559,670,570,628,580,616,395,471,447
12,內湖,13435,897,789,1289,1131,1320,1216,1547,1335,1289,876,901,845
13,士林,13015,951,810,1235,1203,1262,1150,1399,1257,1314,829,757,848
14,北投,11572,913,671,1034,1125,1106,991,1233,1104,1158,796,797,644
15,備註：依據戶籍資料產製。,,,,,,,,,,,,,
