,臺北市102年各行政區遷出人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,149728,11167,8577,12366,11669,14913,12052,14781,14851,16092,11929,10155,11176
3,松山,13174,905,785,1016,1023,1225,1029,1314,1499,1541,1072,876,889
4,信義,12360,932,718,1062,1000,1303,1005,1105,1242,1298,958,811,926
5,大安,19998,1480,1214,1653,1465,1895,1655,1926,1980,2235,1603,1321,1571
6,中山,14887,996,841,1297,1130,1512,1168,1470,1427,1533,1270,1076,1167
7,中正,11653,800,625,849,872,1162,923,1250,1144,1393,966,815,854
8,大同,7395,552,366,626,546,757,628,705,726,826,603,484,576
9,萬華,10327,817,624,963,816,1033,872,959,949,965,862,737,730
10,文山,12916,980,679,1048,1073,1325,1031,1255,1278,1336,1043,918,950
11,南港,6878,551,392,623,515,732,524,698,584,707,506,497,549
12,內湖,14384,1134,830,1144,1117,1378,1106,1473,1496,1511,1108,1014,1073
13,士林,13880,1019,782,1195,1205,1325,1206,1366,1433,1435,1004,918,992
14,北投,11876,1001,721,890,907,1266,905,1260,1093,1312,934,688,899
