,臺北市109年各行政區遷出人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,162002,11330,13648,13950,12041,13898,12191,15324,15425,17798,10863,12088,13446
3,松山,13888,917,1185,1186,1066,1163,999,1252,1380,1659,886,1029,1166
4,信義,13385,913,1144,1260,992,1173,1018,1222,1233,1364,901,1039,1126
5,大安,20773,1377,1570,1699,1427,1840,1581,2016,2131,2355,1343,1673,1761
6,中山,15366,1028,1371,1356,1213,1295,1064,1283,1344,1672,1090,1179,1471
7,中正,13265,1015,1061,976,870,1037,1000,1393,1308,1752,872,998,983
8,大同,8670,614,719,766,583,706,638,983,771,1002,594,656,638
9,萬華,11627,826,1003,1020,836,978,950,1100,1031,1207,864,845,967
10,文山,14520,995,1238,1242,1163,1287,1121,1443,1433,1471,905,1005,1217
11,南港,7676,567,676,754,601,656,544,680,660,812,541,567,618
12,內湖,15237,1189,1296,1313,1142,1315,1135,1451,1474,1555,939,1162,1266
13,士林,14888,982,1349,1305,1091,1236,1197,1340,1452,1599,1050,1011,1276
14,北投,12707,907,1036,1073,1057,1212,944,1161,1208,1350,878,924,957
15,備註：依據戶籍資料產製。,,,,,,,,,,,,,
