,臺北市110年各行政區遷入人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,108058,8082,7335,10548,8908,7070,6959,8369,10386,12497,8509,9081,10314
3,松山,9077,684,654,829,712,633,501,564,815,1044,856,791,994
4,信義,7986,568,472,714,582,495,540,682,816,1001,591,702,823
5,大安,13833,999,958,1461,1166,965,946,999,1240,1539,1154,1160,1246
6,中山,10745,829,705,1019,890,728,727,796,1069,1244,706,925,1107
7,中正,9252,736,635,911,742,587,541,655,772,1155,788,837,893
8,大同,6435,462,471,776,529,461,444,495,633,727,456,453,528
9,萬華,6829,480,434,675,561,329,361,633,766,818,579,543,650
10,文山,9712,813,707,917,809,596,652,794,952,1071,628,879,894
11,南港,5365,384,331,510,448,382,316,424,538,645,478,420,489
12,內湖,10927,740,729,1045,925,756,701,923,1136,1271,879,853,969
13,士林,8966,720,606,830,722,573,610,738,843,994,695,768,867
14,北投,8931,667,633,861,822,565,620,666,806,988,699,750,854
15,註:本表係依據戶籍資料產製，表列各區遷入人口數係指自本市他區、自外縣市、自國外遷入及初設戶籍等人口數之總計。,,,,,,,,,,,,,
