,臺北市102年各行政區遷入人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,152687,11638,8764,13228,12220,15261,12586,14826,13695,14963,12205,11028,12273
3,松山,12056,918,711,1045,939,1238,986,1087,930,1179,1012,982,1029
4,信義,12254,974,732,985,986,1211,881,1273,1136,1193,1004,900,979
5,大安,19017,1468,1133,1596,1590,1899,1514,1846,1653,1840,1532,1383,1563
6,中山,15879,1235,849,1359,1251,1552,1314,1611,1493,1635,1172,1110,1298
7,中正,12093,845,767,1174,974,1155,1072,1177,1012,1188,983,858,888
8,大同,7989,604,413,751,696,864,569,725,684,789,658,574,662
9,萬華,10766,802,623,834,835,1060,855,1010,963,1044,968,824,948
10,文山,13841,1076,773,1190,1130,1423,1209,1347,1271,1229,1106,1027,1060
11,南港,7458,540,405,640,614,736,652,762,722,809,544,470,564
12,內湖,15559,1142,841,1403,1173,1519,1297,1529,1505,1635,1209,1108,1198
13,士林,13736,1171,772,1223,1043,1400,1174,1303,1185,1306,1079,969,1111
14,北投,12039,863,745,1028,989,1204,1063,1156,1141,1116,938,823,973
