,臺北市105年各行政區遷入人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,127081,9781,8608,12870,9637,12194,10615,10486,11669,11457,9733,9728,10303
3,松山,10732,862,769,1155,784,1002,897,819,935,885,804,863,957
4,信義,9814,745,571,1013,738,961,804,828,925,918,737,807,767
5,大安,16277,1254,1170,1618,1278,1577,1324,1299,1394,1444,1253,1231,1435
6,中山,12845,979,838,1221,921,1224,1075,1143,1216,1223,995,975,1035
7,中正,9774,837,713,1014,783,925,783,807,842,816,815,688,751
8,大同,6322,494,405,731,466,608,536,519,507,582,494,447,533
9,萬華,9292,655,640,890,697,852,741,763,978,927,717,709,723
10,文山,11921,955,836,1247,936,1211,918,962,1153,1028,902,855,918
11,南港,6327,459,386,584,462,652,532,565,622,622,511,470,462
12,內湖,12154,916,775,1193,907,1191,1090,967,1107,1130,987,933,958
13,士林,11394,855,835,1208,841,1028,1022,938,1024,969,754,958,962
14,北投,10229,770,670,996,824,963,893,876,966,913,764,792,802
15,備註：依據戶籍資料產製。,,,,,,,,,,,,,
