年,月,隸屬區,里數,鄰數,戶數,男,女,合計
111,1,板橋區,126,2515,219411,268468,283781,552249
111,1,三重區,119,2564,155655,187057,194235,381292
111,1,中和區,93,2998,169654,195977,209388,405365
111,1,永和區,62,1249,91191,101493,112694,214187
111,1,新莊區,84,1842,162568,205043,215924,420967
111,1,新店區,69,1482,130597,143541,155600,299141
111,1,土城區,47,1236,90687,116665,120724,237389
111,1,蘆洲區,38,727,74072,98572,102767,201339
111,1,樹林區,42,1039,67718,90506,91114,181620
111,1,鶯歌區,20,434,32714,44148,44030,88178
111,1,三峽區,28,608,44811,57896,58010,115906
111,1,淡水區,42,703,85147,88631,96566,185197
111,1,汐止區,50,1141,92330,100253,105656,205909
111,1,瑞芳區,34,426,16078,19336,19027,38363
111,1,五股區,20,515,35755,45402,45117,90519
111,1,泰山區,17,466,29012,38178,39235,77413
111,1,林口區,17,443,50802,60651,64134,124785
111,1,八里區,10,195,16160,20017,20158,40175
111,1,深坑區,8,239,9843,11768,11817,23585
111,1,石碇區,12,107,3381,4089,3394,7483
111,1,坪林區,7,78,2568,3594,3032,6626
111,1,三芝區,13,254,9613,11447,10864,22311
111,1,石門區,9,124,4215,5818,5349,11167
111,1,金山區,15,201,7249,10245,10578,20823
111,1,萬里區,10,186,7525,10694,10710,21404
111,1,平溪區,12,120,2209,2420,1902,4322
111,1,雙溪區,12,244,3665,4465,3750,8215
111,1,貢寮區,11,202,4307,5866,5638,11504
111,1,烏來區,5,43,1915,3117,3261,6378
總計,,,1032,22381,1620852,1955357,2048455,4003812
