年,月,隸屬區,里數,鄰數,戶數,男,女,合計
102,12,板橋區,126,2472,203555,273387,283533,556920
102,12,三重區,119,2555,145732,193129,196684,389813
102,12,中和區,93,2998,160988,203704,212038,415742
102,12,永和區,62,1249,90630,109292,119770,229062
102,12,新莊區,84,1842,144609,201476,208284,409760
102,12,新店區,69,1476,121059,145092,153925,299017
102,12,土城區,47,1236,85009,118787,120471,239258
102,12,蘆洲區,38,727,68130,98338,101088,199426
102,12,樹林區,42,1039,64323,91859,91548,183407
102,12,鶯歌區,20,434,28881,44506,44131,88637
102,12,三峽區,28,604,39459,55635,54375,110010
102,12,淡水區,42,694,65495,74943,80298,155241
102,12,汐止區,50,1137,83244,95471,98729,194200
102,12,瑞芳區,34,426,16025,21000,20490,41490
102,12,五股區,20,515,28737,41292,40452,81744
102,12,泰山區,17,460,27275,38879,39060,77939
102,12,林口區,17,433,36121,46239,47869,94108
102,12,八里區,10,195,13289,18218,17983,36201
102,12,深坑區,8,239,9265,11865,11757,23622
102,12,石碇區,12,107,3363,4328,3520,7848
102,12,坪林區,7,78,2478,3621,2839,6460
102,12,三芝區,13,254,9197,12093,11371,23464
102,12,石門區,9,124,4264,6658,6136,12794
102,12,金山區,15,201,6934,11132,11260,22392
102,12,萬里區,10,186,7317,11456,11162,22618
102,12,平溪區,12,120,2380,2776,2226,5002
102,12,雙溪區,12,244,3860,5065,4347,9412
102,12,貢寮區,11,202,4456,6820,6486,13306
102,12,烏來區,5,43,1782,2999,3037,6036
總計,,,1032,22290,1477857,1950060,2004869,3954929
