年,月,隸屬區,里數,鄰數,戶數,男,女,合計
110,12,板橋區,126,2515,219404,268673,284040,552713
110,12,三重區,119,2564,155647,187265,194466,381731
110,12,中和區,93,2998,169811,196306,209834,406140
110,12,永和區,62,1249,91421,101849,113118,214967
110,12,新莊區,84,1842,162567,205219,216162,421381
110,12,新店區,69,1482,130664,143812,155884,299696
110,12,土城區,47,1236,90588,116708,120776,237484
110,12,蘆洲區,38,727,74077,98658,102831,201489
110,12,樹林區,42,1039,67747,90644,91259,181903
110,12,鶯歌區,20,434,32655,44130,44001,88131
110,12,三峽區,28,608,44826,57964,58055,116019
110,12,淡水區,42,698,85048,88618,96579,185197
110,12,汐止區,50,1141,92279,100266,105724,205990
110,12,瑞芳區,34,426,16098,19386,19063,38449
110,12,五股區,20,515,35685,45369,45096,90465
110,12,泰山區,17,466,29010,38208,39243,77451
110,12,林口區,17,443,50711,60583,64045,124628
110,12,八里區,10,195,16118,20013,20165,40178
110,12,深坑區,8,239,9856,11794,11852,23646
110,12,石碇區,12,107,3380,4097,3390,7487
110,12,坪林區,7,78,2566,3592,3027,6619
110,12,三芝區,13,254,9628,11468,10889,22357
110,12,石門區,9,124,4220,5828,5365,11193
110,12,金山區,15,201,7236,10247,10597,20844
110,12,萬里區,10,186,7543,10720,10742,21462
110,12,平溪區,12,120,2213,2423,1910,4333
110,12,雙溪區,12,244,3671,4477,3758,8235
110,12,貢寮區,11,202,4318,5891,5643,11534
110,12,烏來區,5,43,1919,3129,3262,6391
總計,,,1032,22376,1620906,1957337,2050776,4008113
