年,月,隸屬區,里數,鄰數,戶數,男,女,合計
105,1,板橋區,126,2480,205664,271044,282964,554008
105,1,三重區,119,2555,148541,191726,196660,388386
105,1,中和區,93,2998,163074,202228,212128,414356
105,1,永和區,62,1249,90684,107156,118197,225353
105,1,新莊區,84,1842,149167,202520,210923,413443
105,1,新店區,69,1476,123906,145133,155150,300283
105,1,土城區,47,1236,85921,118093,120553,238646
105,1,蘆洲區,38,727,69513,98531,101524,200055
105,1,樹林區,42,1039,65445,92116,92213,184329
105,1,鶯歌區,20,434,29448,44119,43812,87931
105,1,三峽區,28,606,41190,56730,56045,112775
105,1,淡水區,42,694,70441,78135,84306,162441
105,1,汐止區,50,1137,85046,95934,100216,196150
105,1,瑞芳區,34,426,16127,20672,20250,40922
105,1,五股區,20,515,29996,41851,41132,82983
105,1,泰山區,17,464,28018,39194,39607,78801
105,1,林口區,17,433,39211,49226,51328,100554
105,1,八里區,10,195,14035,18814,18897,37711
105,1,深坑區,8,239,9463,11828,11786,23614
105,1,石碇區,12,107,3375,4332,3525,7857
105,1,坪林區,7,78,2496,3626,2877,6503
105,1,三芝區,13,254,9360,12080,11372,23452
105,1,石門區,9,124,4312,6554,6091,12645
105,1,金山區,15,201,7035,11030,11243,22273
105,1,萬里區,10,186,7406,11408,11226,22634
105,1,平溪區,12,120,2351,2693,2179,4872
105,1,雙溪區,12,244,3843,4989,4244,9233
105,1,貢寮區,11,202,4406,6557,6301,12858
105,1,烏來區,5,43,1833,3074,3108,6182
總計,,,1032,22304,1511307,1951393,2019857,3971250
