年,月,隸屬區,里數,鄰數,戶數,男,女,合計
101,1,板橋區,126,2464,198243,273884,281600,555484
101,1,三重區,119,2555,142564,194157,196371,390528
101,1,中和區,93,2972,157457,204447,210500,414947
101,1,永和區,62,1249,89942,111288,120998,232286
101,1,新莊區,84,1807,139286,199314,204965,404279
101,1,新店區,69,1447,117930,144816,151833,296649
101,1,土城區,47,1236,83379,119391,119844,239235
101,1,蘆洲區,38,682,66493,98082,100354,198436
101,1,樹林區,42,969,62196,90483,89489,179972
101,1,鶯歌區,20,431,27981,44234,43481,87715
101,1,三峽區,28,591,36873,53752,52004,105756
101,1,淡水區,42,658,59972,71330,75718,147048
101,1,汐止區,50,1133,80339,94442,96262,190704
101,1,瑞芳區,34,426,15922,21383,20613,41996
101,1,五股區,20,515,27784,40760,39802,80562
101,1,泰山區,17,458,26565,38669,38432,77101
101,1,林口區,17,365,32553,42817,44046,86863
101,1,八里區,10,195,12668,17883,17528,35411
101,1,深坑區,8,239,9091,11848,11705,23553
101,1,石碇區,12,107,3343,4377,3495,7872
101,1,坪林區,7,78,2455,3627,2894,6521
101,1,三芝區,13,254,8946,12038,11278,23316
101,1,石門區,9,124,4163,6718,6112,12830
101,1,金山區,15,201,6804,11210,11230,22440
101,1,萬里區,10,186,7153,11312,10954,22266
101,1,平溪區,12,120,2389,2887,2301,5188
101,1,雙溪區,12,244,3810,5164,4376,9540
101,1,貢寮區,11,202,4439,6979,6546,13525
101,1,烏來區,5,43,1743,2987,2935,5922
總計,,,1032,21951,1432483,1940279,1977666,3917945
