年,月,隸屬區,里數,鄰數,戶數,男,女,合計
109,12,板橋區,126,2515,217892,270821,286293,557114
109,12,三重區,119,2564,154699,188897,196431,385328
109,12,中和區,93,2998,168928,198830,212384,411214
109,12,永和區,62,1249,91824,103903,115461,219364
109,12,新莊區,84,1842,160984,205901,216752,422653
109,12,新店區,69,1482,130416,145552,157980,303532
109,12,土城區,47,1236,89502,117117,121160,238277
109,12,蘆洲區,38,727,73445,99113,103343,202456
109,12,樹林區,42,1039,67580,91392,92078,183470
109,12,鶯歌區,20,434,31860,43910,43764,87674
109,12,三峽區,28,608,44562,58409,58508,116917
109,12,淡水區,42,698,83046,87638,95640,183278
109,12,汐止區,50,1141,91207,100104,105743,205847
109,12,瑞芳區,34,426,16177,19730,19347,39077
109,12,五股區,20,515,34644,44983,44487,89470
109,12,泰山區,17,466,29032,38686,39726,78412
109,12,林口區,17,443,48894,58911,62281,121192
109,12,八里區,10,195,15554,19801,19940,39741
109,12,深坑區,8,239,9796,11850,11873,23723
109,12,石碇區,12,107,3402,4130,3435,7565
109,12,坪林區,7,78,2547,3649,3054,6703
109,12,三芝區,13,254,9595,11575,10965,22540
109,12,石門區,9,124,4239,5973,5507,11480
109,12,金山區,15,201,7194,10394,10733,21127
109,12,萬里區,10,186,7538,10865,10845,21710
109,12,平溪區,12,120,2252,2473,1951,4424
109,12,雙溪區,12,244,3731,4592,3876,8468
109,12,貢寮區,11,202,4358,6025,5757,11782
109,12,烏來區,5,43,1916,3131,3285,6416
總計,,,1032,22376,1606814,1968355,2062599,4030954
