年,月,隸屬區,里數,鄰數,戶數,男,女,合計
103,1,板橋區,126,2472,203607,273343,283590,556933
103,1,三重區,119,2555,145798,193076,196686,389762
103,1,中和區,93,2998,160971,203673,212069,415742
103,1,永和區,62,1249,90616,109247,119795,229042
103,1,新莊區,84,1842,144708,201438,208426,409864
103,1,新店區,69,1476,121127,145123,153919,299042
103,1,土城區,47,1236,84968,118732,120440,239172
103,1,蘆洲區,38,727,68171,98339,101108,199447
103,1,樹林區,42,1039,64366,91922,91631,183553
103,1,鶯歌區,20,434,28909,44522,44162,88684
103,1,三峽區,28,606,39480,55657,54415,110072
103,1,淡水區,42,694,65669,75064,80483,155547
103,1,汐止區,50,1137,83204,95425,98690,194115
103,1,瑞芳區,34,426,16021,20973,20477,41450
103,1,五股區,20,515,28761,41292,40471,81763
103,1,泰山區,17,460,27308,38910,39104,78014
103,1,林口區,17,433,36219,46382,48058,94440
103,1,八里區,10,195,13334,18267,18032,36299
103,1,深坑區,8,239,9258,11856,11727,23583
103,1,石碇區,12,107,3361,4321,3526,7847
103,1,坪林區,7,78,2473,3621,2842,6463
103,1,三芝區,13,254,9190,12088,11371,23459
103,1,石門區,9,124,4259,6649,6123,12772
103,1,金山區,15,201,6930,11124,11259,22383
103,1,萬里區,10,186,7319,11439,11160,22599
103,1,平溪區,12,120,2375,2770,2226,4996
103,1,雙溪區,12,244,3853,5064,4337,9401
103,1,貢寮區,11,202,4451,6809,6484,13293
103,1,烏來區,5,43,1774,3002,3038,6040
總計,,,1032,22292,1478480,1950128,2005649,3955777
