年,月,隸屬區,里數,鄰數,戶數,男,女,合計
103,12,板橋區,126,2472,204899,272300,283614,555914
103,12,三重區,119,2555,147402,192412,196913,389325
103,12,中和區,93,2998,162378,202986,212240,415226
103,12,永和區,62,1249,90687,108243,119024,227267
103,12,新莊區,85,1842,147092,201987,209724,411711
103,12,新店區,69,1476,122810,145091,154639,299730
103,12,土城區,47,1236,85549,118591,120679,239270
103,12,蘆洲區,38,727,68922,98311,101439,199750
103,12,樹林區,42,1039,65057,92148,92019,184167
103,12,鶯歌區,20,434,29201,44603,44472,89075
103,12,三峽區,28,606,40345,56280,55308,111588
103,12,淡水區,42,694,68253,76614,82339,158953
103,12,汐止區,50,1137,84229,95721,99419,195140
103,12,瑞芳區,34,426,16088,20859,20456,41315
103,12,五股區,21,515,29305,41533,40722,82255
103,12,泰山區,17,464,27668,39032,39338,78370
103,12,林口區,17,433,37840,47815,49830,97645
103,12,八里區,10,195,13764,18613,18574,37187
103,12,深坑區,8,239,9330,11861,11775,23636
103,12,石碇區,12,107,3368,4329,3535,7864
103,12,坪林區,7,78,2478,3603,2852,6455
103,12,三芝區,13,254,9279,12085,11395,23480
103,12,石門區,9,124,4283,6627,6106,12733
103,12,金山區,15,201,7003,11099,11301,22400
103,12,萬里區,10,186,7369,11417,11261,22678
103,12,平溪區,12,120,2351,2726,2228,4954
103,12,雙溪區,12,244,3842,5073,4377,9450
103,12,貢寮區,11,202,4434,6718,6397,13115
103,12,烏來區,5,43,1792,3062,3103,6165
總計,,,1034,22296,1497018,1951739,2015079,3966818
