年,月,隸屬區,里數,鄰數,戶數,男,女,合計
108,12,板橋區,126,2515,215279,270997,285900,556897
108,12,三重區,119,2564,153267,189595,196741,386336
108,12,中和區,93,2998,167668,199887,213182,413069
108,12,永和區,62,1249,91319,104559,116036,220595
108,12,新莊區,84,1842,157838,204865,215608,420473
108,12,新店區,69,1482,129140,145517,157928,303445
108,12,土城區,47,1236,88244,116900,120796,237696
108,12,蘆洲區,38,727,72481,98951,102932,201883
108,12,樹林區,42,1039,67176,91651,92275,183926
108,12,鶯歌區,20,434,31013,43516,43353,86869
108,12,三峽區,28,608,43961,58199,58279,116478
108,12,淡水區,42,697,80206,85461,93149,178610
108,12,汐止區,50,1137,89668,98995,104434,203429
108,12,瑞芳區,34,426,16146,19949,19587,39536
108,12,五股區,20,515,33610,44297,43703,88000
108,12,泰山區,17,466,28813,38874,39877,78751
108,12,林口區,17,443,46404,56172,59410,115582
108,12,八里區,10,195,15265,19728,19803,39531
108,12,深坑區,8,239,9708,11855,11870,23725
108,12,石碇區,12,107,3415,4168,3461,7629
108,12,坪林區,7,78,2541,3650,3039,6689
108,12,三芝區,13,254,9562,11708,11060,22768
108,12,石門區,9,124,4293,6150,5684,11834
108,12,金山區,15,201,7144,10524,10872,21396
108,12,萬里區,10,186,7520,10976,10896,21872
108,12,平溪區,12,120,2274,2519,2027,4546
108,12,雙溪區,12,244,3776,4705,3960,8665
108,12,貢寮區,11,202,4360,6151,5882,12033
108,12,烏來區,5,43,1908,3139,3294,6433
總計,,,1032,22371,1583999,1963658,2055038,4018696
