年,月,隸屬區,里數,鄰數,戶數,男,女,合計
101,12,板橋區,126,2472,201973,274286,283154,557440
101,12,三重區,119,2555,144286,193586,196504,390090
101,12,中和區,93,2998,159724,204605,211894,416499
101,12,永和區,62,1249,90478,110388,120380,230768
101,12,新莊區,84,1842,142061,200359,206653,407012
101,12,新店區,69,1475,119383,144858,152779,297637
101,12,土城區,47,1236,84453,119321,120396,239717
101,12,蘆洲區,38,727,67478,98452,101038,199490
101,12,樹林區,42,1039,63613,91286,90726,182012
101,12,鶯歌區,20,434,28560,44480,43856,88336
101,12,三峽區,28,604,38502,54662,53132,107794
101,12,淡水區,42,694,62655,72932,77755,150687
101,12,汐止區,50,1137,81979,95129,97547,192676
101,12,瑞芳區,34,426,15967,21116,20501,41617
101,12,五股區,20,515,28290,41085,40140,81225
101,12,泰山區,17,460,26968,38784,38833,77617
101,12,林口區,17,433,34026,44244,45642,89886
101,12,八里區,10,195,12948,17991,17730,35721
101,12,深坑區,8,239,9198,11862,11707,23569
101,12,石碇區,12,107,3350,4360,3535,7895
101,12,坪林區,7,78,2476,3610,2873,6483
101,12,三芝區,13,254,9078,12083,11377,23460
101,12,石門區,9,124,4236,6695,6103,12798
101,12,金山區,15,201,6910,11203,11283,22486
101,12,萬里區,10,186,7259,11387,11042,22429
101,12,平溪區,12,120,2388,2841,2268,5109
101,12,雙溪區,12,244,3834,5102,4363,9465
101,12,貢寮區,11,202,4461,6904,6508,13412
101,12,烏來區,5,43,1758,2996,2979,5975
總計,,,1032,22289,1458292,1946607,1992698,3939305
