年,月,隸屬區,里數,鄰數,戶數,男,女,合計
100,1,板橋區,126,2464,194537,274242,280144,554386
100,1,三重區,119,2555,140247,194269,195562,389831
100,1,中和區,93,2972,155425,204552,209667,414219
100,1,永和區,62,1249,89497,112429,121867,234296
100,1,新莊區,84,1807,136855,198741,203383,402124
100,1,新店區,69,1447,116465,144985,151269,296254
100,1,土城區,47,1236,82021,119261,119171,238432
100,1,蘆洲區,38,682,65456,98000,99782,197782
100,1,樹林區,42,969,59897,88954,87537,176491
100,1,鶯歌區,20,431,27469,43943,42917,86860
100,1,三峽區,28,591,35588,52866,50733,103599
100,1,淡水區,42,658,57552,69923,73764,143687
100,1,汐止區,50,1133,79228,94166,95401,189567
100,1,瑞芳區,34,426,15859,21671,20722,42393
100,1,五股區,20,515,27354,40562,39430,79992
100,1,泰山區,17,458,26148,38467,38045,76512
100,1,林口區,17,365,30669,41287,42242,83529
100,1,八里區,10,195,12265,17645,17158,34803
100,1,深坑區,8,239,8829,11715,11535,23250
100,1,石碇區,12,107,3320,4441,3509,7950
100,1,坪林區,7,78,2438,3640,2890,6530
100,1,三芝區,13,254,8857,12045,11241,23286
100,1,石門區,9,124,4084,6688,6031,12719
100,1,金山區,15,201,6701,11241,11131,22372
100,1,萬里區,10,186,7024,11148,10840,21988
100,1,平溪區,12,120,2389,2972,2347,5319
100,1,雙溪區,12,244,3817,5265,4442,9707
100,1,貢寮區,11,202,4381,7055,6665,13720
100,1,烏來區,5,43,1688,2947,2876,5823
總計,,,1032,21951,1406060,1935120,1962301,3897421
