年,月,隸屬區,里數,鄰數,戶數,男,女,合計
107,12,板橋區,126,2512,212630,270394,284348,554742
107,12,三重區,119,2555,151788,189559,196267,385826
107,12,中和區,93,2998,166066,200054,212432,412486
107,12,永和區,62,1249,91130,104839,116259,221098
107,12,新莊區,84,1842,155540,203713,214041,417754
107,12,新店區,69,1482,127675,145142,157089,302231
107,12,土城區,47,1236,87234,116707,120194,236901
107,12,蘆洲區,38,727,71720,98883,102449,201332
107,12,樹林區,42,1039,66723,91732,92214,183946
107,12,鶯歌區,20,434,30373,43281,43080,86361
107,12,三峽區,28,608,43228,57947,57873,115820
107,12,淡水區,42,697,77282,83082,90420,173502
107,12,汐止區,50,1137,88004,97696,102839,200535
107,12,瑞芳區,34,426,16160,20168,19814,39982
107,12,五股區,20,515,32551,43507,42822,86329
107,12,泰山區,17,464,28641,38925,39783,78708
107,12,林口區,17,443,44031,53500,56581,110081
107,12,八里區,10,195,14880,19410,19496,38906
107,12,深坑區,8,239,9633,11841,11793,23634
107,12,石碇區,12,107,3402,4220,3511,7731
107,12,坪林區,7,78,2521,3633,2979,6612
107,12,三芝區,13,254,9530,11839,11139,22978
107,12,石門區,9,124,4313,6266,5849,12115
107,12,金山區,15,201,7132,10730,11044,21774
107,12,萬里區,10,186,7489,11107,10961,22068
107,12,平溪區,12,120,2292,2583,2083,4666
107,12,雙溪區,12,244,3803,4788,4072,8860
107,12,貢寮區,11,202,4368,6263,6038,12301
107,12,烏來區,5,43,1898,3159,3279,6438
總計,,,1032,22357,1562037,1954968,2040749,3995717
