年,月,隸屬區,里數,鄰數,戶數,男,女,合計
110,1,板橋區,126,2515,217997,270651,286250,556901
110,1,三重區,119,2564,154737,188746,196229,384975
110,1,中和區,93,2998,168900,198635,212199,410834
110,1,永和區,62,1249,91828,103808,115363,219171
110,1,新莊區,84,1842,161187,205975,216876,422851
110,1,新店區,69,1482,130451,145418,157875,303293
110,1,土城區,47,1236,89570,117068,121124,238192
110,1,蘆洲區,38,727,73507,99119,103417,202536
110,1,樹林區,42,1039,67560,91310,91992,183302
110,1,鶯歌區,20,433,31896,43924,43749,87673
110,1,三峽區,28,608,44583,58374,58492,116866
110,1,淡水區,42,698,83184,87752,95736,183488
110,1,汐止區,50,1141,91241,100092,105696,205788
110,1,瑞芳區,34,426,16169,19689,19304,38993
110,1,五股區,20,515,34708,45003,44526,89529
110,1,泰山區,17,466,29053,38690,39709,78399
110,1,林口區,17,443,49032,59038,62399,121437
110,1,八里區,10,195,15591,19817,19934,39751
110,1,深坑區,8,239,9807,11867,11875,23742
110,1,石碇區,12,107,3406,4128,3434,7562
110,1,坪林區,7,78,2545,3645,3055,6700
110,1,三芝區,13,254,9593,11576,10953,22529
110,1,石門區,9,124,4241,5971,5504,11475
110,1,金山區,15,201,7201,10373,10723,21096
110,1,萬里區,10,186,7544,10842,10830,21672
110,1,平溪區,12,120,2247,2465,1947,4412
110,1,雙溪區,12,244,3726,4579,3857,8436
110,1,貢寮區,11,202,4349,6008,5743,11751
110,1,烏來區,5,43,1912,3135,3285,6420
總計,,,1032,22375,1607765,1967698,2062076,4029774
