年,月,隸屬區,里數,鄰數,戶數,男,女,合計
100,12,板橋區,126,2464,198015,273845,281490,555335
100,12,三重區,119,2555,142515,194126,196295,390421
100,12,中和區,93,2972,157474,204486,210453,414939
100,12,永和區,62,1249,89972,111416,120970,232386
100,12,新莊區,84,1807,139207,199224,204865,404089
100,12,新店區,69,1447,117904,144760,151821,296581
100,12,土城區,47,1236,83316,119365,119791,239156
100,12,蘆洲區,38,682,66457,98077,100296,198373
100,12,樹林區,42,969,62139,90415,89373,179788
100,12,鶯歌區,20,431,27986,44242,43441,87683
100,12,三峽區,28,591,36823,53696,51933,105629
100,12,淡水區,42,658,59866,71192,75564,146756
100,12,汐止區,50,1133,80361,94436,96243,190679
100,12,瑞芳區,34,426,15930,21399,20632,42031
100,12,五股區,20,515,27777,40739,39779,80518
100,12,泰山區,17,458,26554,38644,38413,77057
100,12,林口區,17,365,32503,42729,43899,86628
100,12,八里區,10,195,12671,17888,17535,35423
100,12,深坑區,8,239,9085,11848,11683,23531
100,12,石碇區,12,107,3340,4386,3501,7887
100,12,坪林區,7,78,2457,3632,2901,6533
100,12,三芝區,13,254,8946,12040,11279,23319
100,12,石門區,9,124,4161,6721,6120,12841
100,12,金山區,15,201,6808,11218,11229,22447
100,12,萬里區,10,186,7140,11269,10935,22204
100,12,平溪區,12,120,2392,2900,2297,5197
100,12,雙溪區,12,244,3806,5173,4382,9555
100,12,貢寮區,11,202,4438,6987,6551,13538
100,12,烏來區,5,43,1748,2991,2936,5927
總計,,,1032,21951,1431791,1939844,1976607,3916451
