年,月,隸屬區,里數,鄰數,戶數,男,女,合計
104,1,板橋區,126,2472,204905,272272,283652,555924
104,1,三重區,119,2555,147493,192328,196871,389199
104,1,中和區,93,2998,162394,203006,212271,415277
104,1,永和區,62,1249,90680,108227,118994,227221
104,1,新莊區,84,1842,147243,202041,209872,411913
104,1,新店區,69,1476,122812,145039,154652,299691
104,1,土城區,47,1236,85566,118579,120731,239310
104,1,蘆洲區,38,727,68964,98298,101441,199739
104,1,樹林區,42,1039,65068,92128,92025,184153
104,1,鶯歌區,20,434,29284,44636,44500,89136
104,1,三峽區,28,606,40380,56314,55327,111641
104,1,淡水區,42,694,68356,76732,82455,159187
104,1,汐止區,50,1137,84200,95705,99462,195167
104,1,瑞芳區,34,426,16079,20848,20432,41280
104,1,五股區,20,515,29324,41509,40746,82255
104,1,泰山區,17,464,27722,39084,39407,78491
104,1,林口區,17,433,37919,47922,49965,97887
104,1,八里區,10,195,13779,18626,18600,37226
104,1,深坑區,8,239,9326,11851,11771,23622
104,1,石碇區,12,107,3368,4332,3533,7865
104,1,坪林區,7,78,2484,3610,2858,6468
104,1,三芝區,13,254,9284,12090,11400,23490
104,1,石門區,9,124,4285,6630,6100,12730
104,1,金山區,15,201,7011,11104,11292,22396
104,1,萬里區,10,186,7376,11432,11255,22687
104,1,平溪區,12,120,2356,2721,2221,4942
104,1,雙溪區,12,244,3837,5059,4354,9413
104,1,貢寮區,11,202,4428,6692,6405,13097
104,1,烏來區,5,43,1799,3058,3106,6164
總計,,,1032,22296,1497722,1951873,2015698,3967571
