年,月,隸屬區,里數,鄰數,戶數,男,女,合計
102,1,板橋區,126,2472,202011,274215,283202,557417
102,1,三重區,119,2555,144354,193564,196643,390207
102,1,中和區,93,2998,159804,204526,211977,416503
102,1,永和區,62,1249,90473,110340,120405,230745
102,1,新莊區,84,1842,142172,200540,206830,407370
102,1,新店區,69,1475,119432,144868,152785,297653
102,1,土城區,47,1236,84507,119253,120441,239694
102,1,蘆洲區,38,727,67499,98504,101111,199615
102,1,樹林區,42,1039,63651,91374,90823,182197
102,1,鶯歌區,20,434,28584,44534,43893,88427
102,1,三峽區,28,604,38541,54721,53216,107937
102,1,淡水區,42,694,62877,73118,77978,151096
102,1,汐止區,50,1137,82041,95162,97654,192816
102,1,瑞芳區,34,426,15975,21124,20503,41627
102,1,五股區,20,515,28307,41110,40192,81302
102,1,泰山區,17,460,26984,38814,38868,77682
102,1,林口區,17,433,34120,44360,45811,90171
102,1,八里區,10,195,12978,17999,17745,35744
102,1,深坑區,8,239,9192,11853,11694,23547
102,1,石碇區,12,107,3349,4346,3536,7882
102,1,坪林區,7,78,2478,3604,2867,6471
102,1,三芝區,13,254,9082,12093,11384,23477
102,1,石門區,9,124,4243,6691,6097,12788
102,1,金山區,15,201,6918,11204,11265,22469
102,1,萬里區,10,186,7274,11401,11054,22455
102,1,平溪區,12,120,2387,2830,2272,5102
102,1,雙溪區,12,244,3846,5102,4372,9474
102,1,貢寮區,11,202,4467,6889,6507,13396
102,1,烏來區,5,43,1760,2992,2983,5975
總計,,,1032,22289,1459306,1947131,1994108,3941239
