年,月,隸屬區,里數,鄰數,戶數,男,女,合計
104,12,板橋區,126,2480,205731,271178,283058,554236
104,12,三重區,119,2555,148489,191757,196690,388447
104,12,中和區,93,2998,163065,202275,212029,414304
104,12,永和區,62,1249,90705,107181,118228,225409
104,12,新莊區,84,1842,149116,202452,210791,413243
104,12,新店區,69,1476,123873,145134,155133,300267
104,12,土城區,47,1236,85968,118153,120550,238703
104,12,蘆洲區,38,727,69521,98555,101540,200095
104,12,樹林區,42,1039,65432,92082,92167,184249
104,12,鶯歌區,20,434,29425,44144,43821,87965
104,12,三峽區,28,606,41141,56701,56007,112708
104,12,淡水區,42,694,70294,78033,84188,162221
104,12,汐止區,50,1137,85024,95902,100126,196028
104,12,瑞芳區,34,426,16142,20708,20268,40976
104,12,五股區,20,515,29946,41842,41081,82923
104,12,泰山區,17,464,27996,39152,39555,78707
104,12,林口區,17,433,39143,49125,51225,100350
104,12,八里區,10,195,14017,18814,18864,37678
104,12,深坑區,8,239,9458,11811,11783,23594
104,12,石碇區,12,107,3372,4336,3519,7855
104,12,坪林區,7,78,2495,3618,2872,6490
104,12,三芝區,13,254,9371,12098,11389,23487
104,12,石門區,9,124,4311,6550,6091,12641
104,12,金山區,15,201,7024,11024,11236,22260
104,12,萬里區,10,186,7416,11412,11230,22642
104,12,平溪區,12,120,2352,2691,2183,4874
104,12,雙溪區,12,244,3840,4995,4250,9245
104,12,貢寮區,11,202,4402,6560,6300,12860
104,12,烏來區,5,43,1831,3072,3115,6187
總計,,,1032,22304,1510900,1951355,2019289,3970644
