年,月,隸屬區,里數,鄰數,戶數,男,女,合計
106,12,板橋區,126,2509,208464,269259,282221,551480
106,12,三重區,119,2555,151065,190698,196786,387484
106,12,中和區,93,2998,165228,201104,212486,413590
106,12,永和區,62,1249,90938,105658,116927,222585
106,12,新莊區,84,1842,153253,203329,213195,416524
106,12,新店區,69,1482,126696,145273,156816,302089
106,12,土城區,47,1236,86953,117517,120550,238067
106,12,蘆洲區,38,727,70961,98873,102436,201309
106,12,樹林區,42,1039,66454,91845,92304,184149
106,12,鶯歌區,20,434,29790,43404,43189,86593
106,12,三峽區,28,606,42661,57644,57282,114926
106,12,淡水區,42,698,74756,81352,88245,169597
106,12,汐止區,50,1137,86928,97241,102080,199321
106,12,瑞芳區,34,426,16212,20372,19981,40353
106,12,五股區,20,515,31473,42844,42075,84919
106,12,泰山區,17,464,28478,39164,39747,78911
106,12,林口區,17,433,41953,51647,54454,106101
106,12,八里區,10,195,14581,19195,19298,38493
106,12,深坑區,8,239,9605,11837,11823,23660
106,12,石碇區,12,107,3379,4223,3460,7683
106,12,坪林區,7,78,2514,3620,2908,6528
106,12,三芝區,13,254,9483,11946,11254,23200
106,12,石門區,9,124,4301,6356,5930,12286
106,12,金山區,15,201,7105,10853,11162,22015
106,12,萬里區,10,186,7480,11204,11092,22296
106,12,平溪區,12,120,2302,2612,2107,4719
106,12,雙溪區,12,244,3814,4831,4108,8939
106,12,貢寮區,11,202,4405,6375,6177,12552
106,12,烏來區,5,43,1866,3121,3199,6320
總計,,,1032,22343,1543098,1953397,2033292,3986689
