年,月,隸屬區,里數,鄰數,戶數,男,女,合計
108,1,板橋區,126,2515,212784,270352,284502,554854
108,1,三重區,119,2564,151843,189504,196221,385725
108,1,中和區,93,2998,166138,199932,212394,412326
108,1,永和區,62,1249,91143,104840,116261,221101
108,1,新莊區,84,1842,155690,203805,214163,417968
108,1,新店區,69,1482,127781,145098,157133,302231
108,1,土城區,47,1236,87223,116678,120194,236872
108,1,蘆洲區,38,727,71750,98886,102477,201363
108,1,樹林區,42,1039,66705,91674,92206,183880
108,1,鶯歌區,20,434,30438,43334,43104,86438
108,1,三峽區,28,608,43271,57979,57917,115896
108,1,淡水區,42,697,77508,83283,90696,173979
108,1,汐止區,50,1137,88070,97779,102996,200775
108,1,瑞芳區,34,426,16152,20152,19800,39952
108,1,五股區,20,515,32614,43550,42902,86452
108,1,泰山區,17,464,28669,38921,39795,78716
108,1,林口區,17,443,44255,53770,56918,110688
108,1,八里區,10,195,14896,19411,19486,38897
108,1,深坑區,8,239,9632,11832,11824,23656
108,1,石碇區,12,107,3403,4221,3513,7734
108,1,坪林區,7,78,2527,3646,2985,6631
108,1,三芝區,13,254,9511,11816,11125,22941
108,1,石門區,9,124,4313,6252,5840,12092
108,1,金山區,15,201,7137,10720,11026,21746
108,1,萬里區,10,186,7497,11086,10956,22042
108,1,平溪區,12,120,2290,2589,2076,4665
108,1,雙溪區,12,244,3797,4777,4066,8843
108,1,貢寮區,11,202,4361,6246,6022,12268
108,1,烏來區,5,43,1897,3172,3286,6458
總計,,,1032,22369,1563295,1955305,2041884,3997189
