年,月,隸屬區,里數,鄰數,戶數,男,女,合計
105,12,板橋區,126,2503,206794,269874,282411,552285
105,12,三重區,119,2555,150133,191481,197100,388581
105,12,中和區,93,2998,164248,201832,212434,414266
105,12,永和區,62,1249,90779,106465,117534,223999
105,12,新莊區,84,1842,150767,202461,211695,414156
105,12,新店區,69,1476,125213,145218,155950,301168
105,12,土城區,47,1236,86503,117779,120721,238500
105,12,蘆洲區,38,727,70235,98768,101934,200702
105,12,樹林區,42,1039,66035,92064,92336,184400
105,12,鶯歌區,20,434,29565,43731,43500,87231
105,12,三峽區,28,606,41992,57307,56873,114180
105,12,淡水區,42,698,72432,79687,86078,165765
105,12,汐止區,50,1137,85998,96598,101151,197749
105,12,瑞芳區,34,426,16168,20518,20082,40600
105,12,五股區,20,515,30747,42449,41685,84134
105,12,泰山區,17,464,28230,39178,39639,78817
105,12,林口區,17,433,40537,50335,52884,103219
105,12,八里區,10,195,14309,19014,19153,38167
105,12,深坑區,8,239,9548,11850,11833,23683
105,12,石碇區,12,107,3364,4253,3483,7736
105,12,坪林區,7,78,2520,3633,2905,6538
105,12,三芝區,13,254,9431,11999,11370,23369
105,12,石門區,9,124,4305,6469,6027,12496
105,12,金山區,15,201,7078,10969,11238,22207
105,12,萬里區,10,186,7465,11309,11181,22490
105,12,平溪區,12,120,2328,2638,2140,4778
105,12,雙溪區,12,244,3819,4901,4173,9074
105,12,貢寮區,11,202,4412,6491,6215,12706
105,12,烏來區,5,43,1857,3070,3142,6212
總計,,,1032,22331,1526812,1952341,2026867,3979208
