年,月,隸屬區,里數,鄰數,戶數,男,女,合計
106,1,板橋區,126,2503,206836,269787,282433,552220
106,1,三重區,119,2555,150147,191455,197089,388544
106,1,中和區,93,2998,164283,201765,212425,414190
106,1,永和區,62,1249,90826,106486,117600,224086
106,1,新莊區,84,1842,150819,202454,211773,414227
106,1,新店區,69,1476,125299,145239,156066,301305
106,1,土城區,47,1236,86539,117768,120723,238491
106,1,蘆洲區,38,727,70279,98773,101987,200760
106,1,樹林區,42,1039,66078,92068,92341,184409
106,1,鶯歌區,20,434,29594,43693,43470,87163
106,1,三峽區,28,606,42004,57328,56887,114215
106,1,淡水區,42,698,72613,79827,86236,166063
106,1,汐止區,50,1137,86040,96631,101246,197877
106,1,瑞芳區,34,426,16157,20511,20070,40581
106,1,五股區,20,515,30771,42472,41699,84171
106,1,泰山區,17,464,28238,39197,39642,78839
106,1,林口區,17,433,40638,50412,53046,103458
106,1,八里區,10,195,14323,19023,19154,38177
106,1,深坑區,8,239,9537,11846,11821,23667
106,1,石碇區,12,107,3364,4255,3480,7735
106,1,坪林區,7,78,2519,3627,2903,6530
106,1,三芝區,13,254,9435,11993,11356,23349
106,1,石門區,9,124,4301,6458,6023,12481
106,1,金山區,15,201,7070,10964,11224,22188
106,1,萬里區,10,186,7461,11302,11169,22471
106,1,平溪區,12,120,2328,2636,2140,4776
106,1,雙溪區,12,244,3817,4905,4171,9076
106,1,貢寮區,11,202,4413,6478,6211,12689
106,1,烏來區,5,43,1860,3074,3151,6225
總計,,,1032,22331,1527589,1952427,2027536,3979963
