year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2013,鶯歌,28584,88427,1.014603695350056,21.1248,4196,317,371,3.0935838231178283,-54,210,88532.0,0.0023720236750553,7.39095794273703
2014,三峽,39480,110072,1.022824588808233,191.4508,583,546,465,2.788044579533941,81,1516,110830.0,0.0136786068753947,6.6
2014,三芝,9190,23459,1.0630551402691055,65.9909,356,98,114,2.552665941240478,-16,21,23469.5,0.000894778329321,5.28289025221541
2014,三重,145798,389762,0.9816458721007087,16.317,23860,1262,1629,2.67330141702904,-367,-437,389543.5,-0.0011218259321487,7.16432775708539
2014,中和,160971,415742,0.9604091121285996,20.144,20613,1744,2127,2.582713656497133,-383,-516,415484.0,-0.0012419250801474,7.49
2014,中山,97352,228926,0.8788296606344126,13.6821,16847,15164,14601,2.3515284739912894,563,1570,229711.0,0.0068346748740809,7.57
2014,中正,64607,163235,0.9204117647058824,7.6071,21478,12060,12347,2.526583806708252,-287,153,163311.5,0.0009368599271943,6.43
2014,五股,28761,81763,1.0202861308097155,34.8632,2359,368,383,2.8428427384305137,-15,492,82009.0,0.0059993415356851,6.43906365282715
2014,信義,88435,228621,0.9228977072013728,11.2077,20491,12301,12176,2.585186860405948,125,1036,229139.0,0.0045212731136995,7.2
2014,內湖,103858,283085,0.9220610801048328,31.5787,9049,14762,13639,2.7256927728244333,1123,2682,284426.0,0.009429517695288,7.28
2014,八里,13334,36299,1.0130323868677906,39.4933,942,149,162,2.7222888855557223,-13,888,36743.0,0.0241678687096861,7.136755669
2014,北投,93862,255586,0.9386809269162212,56.8216,4532,12217,11393,2.72299759220984,824,1934,256553.0,0.0075384033708434,7.14
2014,南港,45109,119955,0.958193215580006,21.8424,5551,7395,6614,2.6592254317320267,781,1302,120606.0,0.0107954828118004,7.88
2014,土城,84968,239172,0.9858186648953836,29.5578,8095,862,1010,2.81484794275492,-148,98,239221.0,0.0004096630312556,7.15
2014,坪林,2473,6463,1.2741027445460944,170.835,38,17,38,2.613424989890821,-21,-8,6459.0,-0.0012385818238117,4.49090205187766
2014,士林,104779,289898,0.9398826292650612,62.3682,4657,13135,13713,2.7667566974298285,-578,557,290176.5,0.0019195213947373,7.38
2014,大同,50580,129949,0.9595126438168192,5.6815,23053,7858,7360,2.5691775405298536,498,1024,130461.0,0.0078490889997777,7.3
2014,大安,119437,313461,0.8820382578623149,11.3614,27610,18975,19518,2.624488223917212,-543,232,313577.0,0.0007398501803384,6.8
2014,平溪,2375,4996,1.2443845462713388,71.3382,69,31,21,2.103578947368421,10,-42,4975.0,-0.0084422110552763,4.62032944957814
2014,文山,101965,271555,0.9314835625986884,31.509,8693,14195,12760,2.663217770803707,1435,2366,272738.0,0.0086749921169767,6.78
2014,新店,121127,299042,0.9428530590765272,120.2255,2493,1385,1494,2.4688302360332544,-109,688,299386.0,0.0022980366483402,6.90107841876452
