statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
104,新北市板橋區,554236,23.1373,23954
104,新北市三重區,388447,16.317,23806
104,新北市中和區,414304,20.144,20567
104,新北市永和區,225409,5.7138,39450
104,新北市新莊區,413243,19.7383,20936
104,新北市新店區,300267,120.2255,2498
104,新北市樹林區,184249,33.1288,5562
104,新北市鶯歌區,87965,21.1248,4164
104,新北市三峽區,112708,191.4508,589
104,新北市淡水區,162221,70.6565,2296
104,新北市汐止區,196028,71.2354,2752
104,新北市瑞芳區,40976,70.7336,579
104,新北市土城區,238703,29.5578,8076
104,新北市蘆洲區,200095,7.4351,26912
104,新北市五股區,82923,34.8632,2379
104,新北市泰山區,78707,19.1603,4108
104,新北市林口區,100350,54.1519,1853
104,新北市深坑區,23594,20.5787,1147
104,新北市石碇區,7855,144.3498,54
104,新北市坪林區,6490,170.835,38
104,新北市三芝區,23487,65.9909,356
104,新北市石門區,12641,51.2645,247
104,新北市八里區,37678,39.4933,954
104,新北市平溪區,4874,71.3382,68
104,新北市雙溪區,9245,146.2484,63
104,新北市貢寮區,12860,99.9734,129
104,新北市金山區,22260,49.2132,452
104,新北市萬里區,22642,63.3766,357
104,新北市烏來區,6187,321.1306,19
104,臺北市松山區,209714,9.2878,22580
104,臺北市信義區,229211,11.2077,20451
104,臺北市大安區,313058,11.3614,27555
104,臺北市中山區,231350,13.6821,16909
104,臺北市中正區,162475,7.6071,21358
104,臺北市大同區,130929,5.6815,23045
104,臺北市萬華區,194339,8.8522,21954
104,臺北市文山區,275367,31.509,8739
104,臺北市南港區,122245,21.8424,5597
104,臺北市內湖區,287566,31.5787,9106
104,臺北市士林區,290694,62.3682,4661
104,臺北市北投區,257862,56.8216,4538
104,桃園市桃園區,427145,34.8046,12273
104,桃園市中壢區,389782,76.52,5094
104,桃園市大溪區,93343,105.1206,888
104,桃園市楊梅區,161098,89.1229,1808
104,桃園市蘆竹區,155403,75.5025,2058
104,桃園市大園區,85565,87.3925,979
104,桃園市龜山區,145580,72.0177,2021
104,桃園市八德區,187420,33.7111,5560
104,桃園市龍潭區,118433,75.2341,1574
104,桃園市平鎮區,217887,47.7532,4563
104,桃園市新屋區,48409,85.0166,569
104,桃園市觀音區,64785,87.9807,736
104,桃園市復興區,10930,350.7775,31
104,臺中市中區,19020,0.8803,21606
104,臺中市東區,75182,9.2855,8097
104,臺中市南區,121786,6.8101,17883
104,臺中市西區,115693,5.7042,20282
104,臺中市北區,147547,6.9376,21268
104,臺中市西屯區,221785,39.8467,5566
104,臺中市南屯區,164575,31.2578,5265
104,臺中市北屯區,265159,62.7034,4229
104,臺中市豐原區,166749,41.1845,4049
104,臺中市東勢區,51308,117.4065,437
104,臺中市大甲區,77714,58.5192,1328
104,臺中市清水區,86146,64.1709,1342
104,臺中市沙鹿區,89592,40.4604,2214
104,臺中市梧棲區,57108,16.6049,3439
104,臺中市后里區,54344,58.9439,922
104,臺中市神岡區,65178,35.0445,1860
104,臺中市潭子區,106557,25.8497,4122
104,臺中市大雅區,93661,32.4109,2890
104,臺中市新社區,25086,68.8874,364
104,臺中市石岡區,15295,18.2105,840
104,臺中市外埔區,31899,42.4099,752
104,臺中市大安區,19542,27.4045,713
104,臺中市烏日區,72514,43.4032,1671
104,臺中市大肚區,56627,37.0024,1530
104,臺中市龍井區,76666,38.0377,2016
104,臺中市霧峰區,64657,98.0779,659
104,臺中市太平區,183923,120.7473,1523
104,臺中市大里區,208406,28.8758,7217
104,臺中市和平區,10726,1037.8192,10
104,臺南市新營區,78165,38.5386,2028
104,臺南市鹽水區,26085,52.2455,499
104,臺南市白河區,29271,126.4046,232
104,臺南市柳營區,21629,61.2929,353
