statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
109,高雄市旗山區,35764,94.6122,378
109,高雄市美濃區,38611,120.0316,322
109,高雄市六龜區,12391,194.1584,64
109,高雄市甲仙區,5877,124.034,47
109,高雄市杉林區,11541,104.0036,111
109,高雄市內門區,13976,95.6224,146
109,高雄市茂林區,1915,194,10
109,高雄市桃源區,4223,928.98,5
109,高雄市那瑪夏區,3147,252.9895,12
109,宜蘭縣宜蘭市,95395,29.408,3244
109,宜蘭縣羅東鎮,71484,11.3448,6301
109,宜蘭縣蘇澳鎮,38864,89.0196,437
109,宜蘭縣頭城鎮,28819,100.893,286
109,宜蘭縣礁溪鄉,35274,101.4278,348
109,宜蘭縣壯圍鄉,24366,38.4769,633
109,宜蘭縣員山鄉,32258,111.9106,288
109,宜蘭縣冬山鄉,53024,79.8573,664
109,宜蘭縣五結鄉,40297,38.8671,1037
109,宜蘭縣三星鄉,21215,144.2238,147
109,宜蘭縣大同鄉,6137,657.5442,9
109,宜蘭縣南澳鄉,5954,740.652,8
109,新竹縣竹北市,200782,46.8341,4287
109,新竹縣關西鎮,27775,125.5193,221
109,新竹縣新埔鎮,33027,72.1911,457
109,新竹縣竹東鎮,97100,53.5133,1815
109,新竹縣湖口鄉,78971,58.4303,1352
109,新竹縣橫山鄉,12547,66.3502,189
109,新竹縣新豐鄉,57511,46.3496,1241
109,新竹縣芎林鄉,19872,40.7858,487
109,新竹縣寶山鄉,14619,64.7871,226
109,新竹縣北埔鄉,9035,50.6676,178
109,新竹縣峨眉鄉,5403,46.801,115
109,新竹縣尖石鄉,9646,527.5795,18
109,新竹縣五峰鄉,4487,227.728,20
109,苗栗縣苗栗市,87671,37.8878,2314
109,苗栗縣頭份市,104441,53.3205,1959
109,苗栗縣苑裡鎮,44562,68.2473,653
109,苗栗縣通霄鎮,33061,107.8486,307
109,苗栗縣竹南鎮,87190,37.5592,2321
109,苗栗縣後龍鎮,35221,75.8079,465
109,苗栗縣卓蘭鎮,16196,76.3153,212
109,苗栗縣大湖鄉,13884,90.8396,153
109,苗栗縣公館鄉,32397,71.4523,453
109,苗栗縣銅鑼鄉,17279,78.3805,220
109,苗栗縣南庄鄉,9573,165.4938,58
109,苗栗縣頭屋鄉,10240,52.5046,195
109,苗栗縣三義鄉,15665,69.3424,226
109,苗栗縣西湖鄉,6729,41.0758,164
109,苗栗縣造橋鄉,12177,47.9978,254
109,苗栗縣三灣鄉,6364,52.2964,122
109,苗栗縣獅潭鄉,4158,79.4324,52
109,苗栗縣泰安鄉,5782,614.5127,9
109,彰化縣彰化市,231317,65.6947,3521
109,彰化縣員林市,124263,40.038,3104
109,彰化縣鹿港鎮,86550,39.4625,2193
109,彰化縣和美鎮,90095,39.9345,2256
109,彰化縣北斗鎮,33358,19.2547,1732
109,彰化縣溪湖鎮,54814,32.0592,1710
109,彰化縣田中鎮,40717,34.6056,1177
109,彰化縣二林鎮,49687,92.8478,535
109,彰化縣線西鄉,16665,18.0856,921
109,彰化縣伸港鄉,37740,22.3268,1690
109,彰化縣福興鄉,46399,49.8934,930
109,彰化縣秀水鄉,38872,29.3447,1325
109,彰化縣花壇鄉,45232,36.3469,1244
109,彰化縣芬園鄉,23188,38.0204,610
109,彰化縣大村鄉,38457,30.7837,1249
109,彰化縣埔鹽鄉,31919,38.6081,827
109,彰化縣埔心鄉,34451,20.9526,1644
109,彰化縣永靖鄉,36300,20.6382,1759
109,彰化縣社頭鄉,42436,36.1449,1174
109,彰化縣二水鄉,14642,29.4449,497
109,彰化縣田尾鄉,26691,24.0375,1110
109,彰化縣埤頭鄉,30072,42.7508,703
109,彰化縣芳苑鄉,32720,91.3827,358
109,彰化縣大城鄉,16119,63.7406,253
109,彰化縣竹塘鄉,14808,42.1662,351
109,彰化縣溪州鄉,29158,75.831,385
109,南投縣南投市,99081,71.6021,1384
109,南投縣埔里鎮,79191,162.2227,488
109,南投縣草屯鎮,97489,104.0327,937
109,南投縣竹山鎮,53464,247.3339,216
109,南投縣集集鎮,10461,49.7268,210
109,南投縣名間鄉,37507,83.0955,451
109,南投縣鹿谷鄉,17231,141.8981,121
109,南投縣中寮鄉,14301,146.6541,98
109,南投縣魚池鄉,15466,121.3735,127
109,南投縣國姓鄉,17965,175.7042,102
