date,district,marry_rate
102,板橋區,7.306435981191
102,三重區,7.25987718985566
102,中和區,7.56
102,永和區,6.53719852989148
102,新莊區,7.27742870715451
102,新店區,6.83813399390602
102,樹林區,7.17
102,鶯歌區,7.39095794273703
102,三峽區,7.0
102,淡水區,7.32
102,汐止區,7.35119263019676
102,瑞芳區,6.28105935721419
102,土城區,7.19
102,蘆洲區,7.23460578166832
102,五股區,6.72520540716333
102,泰山區,7.30283627761064
102,林口區,7.58720393056295
102,深坑區,6.27
102,石碇區,3.30368487928844
102,坪林區,3.55404465734374
102,烏來區,8.6587294979602
102,三芝區,4.475321797
102,石門區,5.001562988
102,八里區,6.284586079
102,平溪區,1.78023934328949
102,雙溪區,4.02606346347407
102,貢寮區,3.96736282655887
102,金山區,4.946745
102,萬里區,5.816147579
103,板橋區,7.17088083218162
103,三重區,7.16432775708539
103,中和區,7.49
103,永和區,6.62241496814798
103,新莊區,7.37214095202387
103,新店區,6.90107841876452
103,樹林區,7.19
103,鶯歌區,7.16890249392275
103,三峽區,6.6
103,淡水區,6.61
103,汐止區,7.54096676426774
103,瑞芳區,5.62767948795363
103,土城區,7.15
103,蘆洲區,6.76393370342906
103,五股區,6.43906365282715
103,泰山區,6.90939101395313
103,林口區,7.31148925962045
103,深坑區,5.84
103,石碇區,5.09164969450102
103,坪林區,4.49090205187766
103,烏來區,7.54036554380788
103,三芝區,5.28289025221541
103,石門區,5.327692247
103,八里區,7.136755669
103,平溪區,4.62032944957814
103,雙溪區,5.08959813381402
103,貢寮區,4.08271273579556
103,金山區,4.554385
103,萬里區,5.38678912
104,板橋區,7.20263027518804
104,三重區,7.25
104,中和區,7.41
104,永和區,6.39309351500853
104,新莊區,7.47193176831678
104,新店區,4.32597493479229
104,樹林區,6.87266568227221
104,鶯歌區,7.81744238590149
104,三峽區,6.6
104,淡水區,6.75646222919664
104,汐止區,6.38600294502618
104,瑞芳區,5.81
104,土城區,7.27656164678758
104,蘆洲區,7.13276394602909
104,五股區,6.53840099771156
104,泰山區,6.59549138320696
104,林口區,7.86888557791863
104,深坑區,6.60597078128308
104,石碇區,4.32597493479229
104,坪林區,4.01699497875628
104,烏來區,7.29
104,三芝區,4.7693061085443
104,石門區,4.80807125403957
104,八里區,7.42670139584586
104,平溪區,3.05250305250305
104,雙溪區,4.17223856646162
104,貢寮區,4.15784408084697
104,金山區,5.03089143865843
104,萬里區,5.95611285266458
105,板橋區,6.79246033288117
105,三重區,6.89550440910752
105,中和區,6.9
105,永和區,6.15031330105383
105,新莊區,6.99058132775118
105,新店區,5.00288628054647
105,樹林區,6.49398208051561
105,鶯歌區,7.10061873558757
105,三峽區,6.38
105,淡水區,6.82955979
105,汐止區,6.31321788728138
105,瑞芳區,5.64
105,土城區,7.25477417367452
105,蘆洲區,6.6816867391722
105,五股區,7.08740130614102
105,泰山區,6.84340164038496
105,林口區,6.77902824103867
105,深坑區,5.71102227298687
105,石碇區,5.00288628054647
105,坪林區,4.75898065704636
105,烏來區,6.45
105,三芝區,4.99402424449377
105,石門區,4.61471138162867
105,八里區,6.46054453161052
105,平溪區,4.14421881475342
105,雙溪區,3.16611168731918
105,貢寮區,3.36384260345772
105,金山區,5.36204910041656
105,萬里區,5.03744349742506
106,板橋區,6.33286976847427
106,三重區,6.33
106,中和區,6.15
106,永和區,5.76
106,新莊區,6.56811287138248
106,新店區,5.75542430506401
106,樹林區,6.45233062632106
106,鶯歌區,6.04059278350516
106,三峽區,5.875009821
106,淡水區,6.238035317
106,汐止區,5.857909185
106,瑞芳區,5.632898101
106,土城區,6.672723877
106,蘆洲區,6.387884909
106,五股區,6.021780152
106,泰山區,5.61726517
106,林口區,6.81253583
106,深坑區,5.23836681241155
106,石碇區,3.89130293793372
106,坪林區,2.908311649
106,烏來區,5.7
106,三芝區,4.380596534
106,石門區,4.519409249
106,八里區,5.713540308
106,平溪區,2.105928188
106,雙溪區,2.442680286
106,貢寮區,3.959141658
106,金山區,5.065352
106,萬里區,4.644308489
107,板橋區,6.08196184852588
107,三重區,6.23
107,中和區,5.87
107,永和區,5.14
107,新莊區,6.34800390277581
107,新店區,5.68572941487953
107,樹林區,6.05821866637689
107,鶯歌區,6.25599870485794
107,三峽區,6.17
107,淡水區,6.21977913080481
107,汐止區,5.78208154935777
107,瑞芳區,4.68
107,土城區,6.42148523690017
107,蘆洲區,6.37292277736246
107,五股區,6.09642156404746
107,泰山區,5.78610446710105
107,林口區,6.65180264776901
107,深坑區,6.08956738698355
107,石碇區,4.54132606721163
107,坪林區,3.34855403348554
107,烏來區,6.74
107,三芝區,4.46099874399065
107,石門區,5.16372279824597
107,八里區,5.45226682515278
107,平溪區,2.49
107,雙溪區,2.25
107,貢寮區,3.38
107,金山區,4.29331567288588
107,萬里區,4.91389414840862
108,板橋區,5.89759805116589
108,三重區,5.91585703518174
108,中和區,5.57200913324975
108,永和區,5.22
108,新莊區,6.24890393652316
108,新店區,5.79187552420766
108,樹林區,6.02927105080028
108,鶯歌區,5.50712925012989
108,三峽區,5.62
108,淡水區,5.84473122188395
108,汐止區,5.62921448445901
108,瑞芳區,5.53
108,土城區,6.38857809889232
108,蘆洲區,6.21504656324789
108,五股區,6.34432595838902
108,泰山區,5.62686159571698
108,林口區,6.76229599003824
108,深坑區,5.82782575645601
108,石碇區,4.6875
108,坪林區,2.70656341628449
108,烏來區,8.24
108,三芝區,4.98404232064006
108,石門區,3.59096413211408
108,八里區,5.55860117036603
108,平溪區,2.39
108,雙溪區,4.45
108,貢寮區,3.69852880742993
108,金山區,4.44753300903405
108,萬里區,4.46062812926718
109,板橋區,5.4415979734491
109,三重區,5.30023429886583
109,中和區,5.06379483745267
109,永和區,4.47768996656507
109,新莊區,5.51281777575356
109,新店區,5.16
109,樹林區,5.13
109,鶯歌區,5.98133411251096
109,三峽區,5.17
109,淡水區,5.77
109,汐止區,5.40955247803438
109,瑞芳區,4.60483635022197
109,土城區,5.73141753838978
109,蘆洲區,5.95045246686567
109,五股區,5.7587197836254
109,泰山區,5.52292842462921
109,林口區,5.93815199303978
109,深坑區,4.85
109,石碇區,3.03
109,坪林區,2.9868578255675
109,烏來區,7.47
109,三芝區,3.79623907477708
